SampleID	AMHI
S1294	-0.914059753
S1384	-0.646819561
S1383	-0.629799828
S1016	-0.471532428
S1185	-0.349292454
S1123	-0.064528906
S138	-0.057951744
S1381	0.005039115
S129	0.036409795
S1425	0.252023085
S1332	0.268698328
S1092	0.430038085
S139	0.581799094
S1221	0.949860352
S1336	1.022764954
S1304	1.125884599
S126	2.237146959
S1331	-1.157430244
S1034	-0.46481251
S1083	-0.09726187
S115	-0.087154206
S1280	0.380986333
S1387	0.505529145
S1404	0.611265863
S1340	0.364608559
S1275	0.396877623
S1453	-1.425285504
S14	0.448869019
S1446	-1.366443166
S1415	-0.797461599
S1214	-0.769666569
S1233	-0.755828545
S1410	-0.7142229
S1315	-0.534828426
S1134	-0.515520968
S1378	-0.394328857
S1417	-0.266056229
S1419	-0.20665818
S1106	-0.180899607
S1424	0.033435728
S1057	0.069797984
S1310	0.146939227
S1334	0.152201827
S1013	0.457819275
S1043	0.484457392
S1320	0.538678027
S1088	0.691791901
S1395	0.74528453
S1421	0.745684925
S1007	0.855526483
S1413	1.063286983
S1232	1.325465407
S1026	1.498314576
S1209	1.585130562
S1335	-1.440625567
S1264	-1.301788083
S1255	-1.280349675
S1430	-1.1692134
S1240	-0.756164844
S1317	-0.738090779
S1281	-0.625205268
S630	-0.566052939
S1428	-0.413092718
S1001	-0.399888829
S104	-0.296759409
S132	-0.240615054
S1399	-0.226788961
S1124	-0.207389607
S1285	-0.091611565
S1181	-0.050174698
S1210	0.089562787
S1217	0.139288972
S111	0.300857956
S105	0.310855413
S1074	0.561068426
S1273	0.590955087
S1402	0.675729439
S1120	0.725540521
S1039	0.992127771
S1222	1.013237122
S1329	1.15605733
S406	-0.732056312
S112	-0.132715308
S131	-0.018291047
S101	0.198205353
S1183	0.38158688
S1	0.558900583
S491	-2.036972421
S1445	-1.33836874
S1370	-0.970317207
S128	-0.629706894
S113	-0.159045693
S1248	0.056024503
S1085	0.2081577
S1122	0.237564383
S1436	0.243187135
S133	0.821865837
S1422	1.506858105
S1005	1.976340307
S1356	-1.290691971
S1115	-0.429592633
S1225	0.301795615
S1053	0.527961709
S458	-0.125269671
S1416	0.150799441
S1052	0.258351019
S1152	0.47540531
S1015	1.218105181
S1292	0.575435752
S122	-1.963543571
S1344	-0.636731135
S135	0.506107668
S1414	-0.943387326
S1250	-0.454333082
S316	0.134801967
S1295	0.239044849
S1127	0.296229905
S134	0.333949744
S1096	0.437366061
S1131	0.719643843
S1330	-1.379089383
S1380	-1.1895469
S143	-0.976545023
S123	-0.950785707
S1251	-0.283338712
S1278	-0.046432721
S1151	0.091660611
S1449	0.137260281
S1107	0.217246868
S1089	0.465042103
S1360	0.470844012
S1139	0.568230972
S1283	0.578109699
S1423	0.645709541
S117	0.657445021
S1180	0.675738847
S1006	0.705630848
S1450	1.272192587
S119	-0.821706769
S137	-0.305663247
S124	-0.978808099
S110	-0.901837238
S625	-0.609637296
S144	-0.436803912
S410	-0.07019942
S56	-0.026300663
S103	0.119627614
S401	0.423648918
S120	0.591434451
S1435	1.535150708
