MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
ARG.shannon	Neis_high	4.40633686232504	4.34423637309843	1.01429488198716	0.0204771424137326
ARG.shannon	Neis_low	4.29334904425879	4.27459969653702	1.00438621278966	0.0063141299820067
ARG.totalRpkm	Neis_high	458.085910554729	433.46658358215	1.05679636524957	0.0796974096937449
ARG.totalRpkm	Neis_low	402.573586472253	445.359914818992	0.90392865194566	-0.145719191214146
ARG1	Neis_high	0.000178043385817882	0.00032356374967638	0.563740472399412	-0.826896948848874
ARG1	Neis_low	0.000226905060104368	0.000142493912535086	1.55353781777919	0.635557361420113
ARG10	Neis_high	8.85188225549188e-05	2.19100220171942e-06	8.08127346093201	3.01458265325033
ARG10	Neis_low	7.05149776721857e-05	6.81690119866798e-05	1.0300114537191	0.0426603802549674
ARG100	Neis_high	6.13590423465415e-06	2.3935356080253e-06	1.30196134057222	0.38068661087468
ARG100	Neis_low	9.5460782412176e-06	1.47463579937494e-05	0.789856763817718	-0.34033704269356
ARG101	Neis_high	1.07494481726349e-06	1.80704345370391e-05	0.394541267348393	-1.34175188695496
ARG101	Neis_low	1.24834300033689e-06	6.75167061757785e-06	0.671475893785411	-0.574592487551107
ARG102	Neis_high	1.07494481726349e-06	5.42784491403675e-06	0.717854300388199	-0.478237038356639
ARG102	Neis_low	1.4198880571128e-05	6.75167061757785e-06	1.44456520925952	0.530635330210546
ARG103	Neis_high	0	0.000190986109251504	0.0497546822376988	-4.32902389078674
ARG103	Neis_low	0	1.58374606008176e-05	0.387034939481768	-1.3694642837069
ARG104	Neis_high	0	7.57353478405779e-07	0.929596672645732	-0.105323190049926
ARG104	Neis_low	7.09664213918855e-06	7.88448037927694e-06	0.95594849705551	-0.0649952016229252
ARG105	Neis_high	6.93739119280095e-05	6.66196460948429e-06	4.76377868926864	2.25210639151626
ARG105	Neis_low	9.08338585836589e-05	0	10.0833858583659	3.33390825166814
ARG106	Neis_high	0	1.71626824226766e-06	0.853514087695941	-0.228513129002435
ARG106	Neis_low	2.74799712532198e-06	0	1.2747997125322	0.350270598900181
ARG107	Neis_high	3.41110934786947e-07	1.34115943289294e-06	0.911821317386163	-0.133176956656612
ARG107	Neis_low	0	0	1	0
ARG108	Neis_high	0	0	1	0
ARG108	Neis_low	2.74799712532198e-06	8.40913362304252e-06	0.692482187720418	-0.530151132776684
ARG109	Neis_high	3.0219820982165e-06	1.34115943289294e-06	1.14820554064769	0.199380922440739
ARG109	Neis_low	1.23580085097709e-05	3.97054883319821e-06	1.60036722799619	0.678402990874719
ARG11	Neis_high	0.000412402440897788	0.000419616095677477	0.98320906769493	-0.0244298737880736
ARG11	Neis_low	0.000352835701295336	0.000482395763040636	0.736878195406796	-0.440501930662588
ARG110	Neis_high	0.000264231349930789	0.000290104140747769	0.91378729146318	-0.130069716546013
ARG110	Neis_low	0.000232981407484245	0.000203754726676179	1.13672998610385	0.184889603420117
ARG111	Neis_high	0.000587216388135838	0.000920032645295363	0.642145618389742	-0.639027602669304
