MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
ARG.shannon	Neis_high	4.40633686232504	4.34423637309843	1.01429488198716	0.0204771424137326
ARG.shannon	Neis_low	4.29334904425879	4.27459969653702	1.00438621278966	0.0063141299820067
ARG.totalRpkm	Neis_high	458.085910554729	433.46658358215	1.05679636524957	0.0796974096937449
ARG.totalRpkm	Neis_low	402.573586472253	445.359914818992	0.90392865194566	-0.145719191214146
ARG1	Neis_high	0.0669313447535714	0.170267092825175	0.393131827910057	-1.34691492596333
ARG1	Neis_low	0.0945166688249158	0.0744555700490566	1.26940099649601	0.344147880267824
ARG2	Neis_high	0.00178955294285714	0.00301191964335664	0.59549993224117	-0.747826750954704
ARG2	Neis_low	0.00176814718181818	0.00912298627169811	0.194695045948817	-2.36071192000226
ARG3	Neis_high	0.0148284143714286	0.00654117520979021	2.26500038485518	1.17951129540556
ARG3	Neis_low	0.00516525955555555	0.0323745898528302	0.159806240532124	-2.64560434739147
ARG4	Neis_high	0.331387861189286	0.279525867811189	1.18552894046902	0.24553088151373
ARG4	Neis_low	0.0619086611212121	0.159151490732075	0.389030417071444	-1.36204513545336
ARG5	Neis_high	0.00988583448214286	0.0013182847972028	7.4500848786211	2.89725686225509
ARG5	Neis_low	0	0	1	0
ARG6	Neis_high	0	0	1	0
ARG6	Neis_low	0.00505858664983165	0.00692359414339623	0.731018652809255	-0.45201987616234
ARG7	Neis_high	0.184304207725	0.20761040091958	0.887746131442989	-0.171780926501352
ARG7	Neis_low	0.290567715151515	0.19057070109434	1.52469643297028	0.608522030712351
ARG8	Neis_high	0.00569587518214286	0	570.587518214286	9.15630437762091
ARG8	Neis_low	0.0126581667306397	0.00110877663773585	11.3232313791225	3.50121382243661
ARG9	Neis_high	0.00224777161428571	0.0016784538006993	1.3371829382306	0.419196852135604
ARG9	Neis_low	0.00828790419191919	0.0106963696490566	0.775043685573696	-0.367650464262699
ARG10	Neis_high	0.0487218162	0.00153091642307692	31.6252169619243	4.98300347220636
ARG10	Neis_low	0.0284605234713805	0.0291884034754717	0.975071239607238	-0.0364204675394801
ARG11	Neis_high	0.165252543282143	0.20912053270979	0.790236323413746	-0.339643933202899
ARG11	Neis_low	0.140461982993266	0.214336999211321	0.655348493378147	-0.609665805082594
ARG12	Neis_high	0	0.0112292207237762	0.000889741401629858	-10.1343262938047
ARG12	Neis_low	0	0.00489680583018868	0.00203798567664445	-8.93864037266113
ARG13	Neis_high	0.0267826605821429	0.0606099228881119	0.441977807058497	-1.17795416520388
ARG13	Neis_low	0.00910514113131313	0.0641789084377359	0.142004925043319	-2.81598712845067
ARG14	Neis_high	0.117739954164286	0.0859959589965035	1.36909064834767	0.453217971498736
ARG14	Neis_low	0.186756183861953	0.202141042433962	0.923894240728265	-0.114200380810359
ARG15	Neis_high	0.00615001618928571	0.00126055402797203	4.84829141749911	2.27747641785897
ARG15	Neis_low	0.00152759843771044	0.0065377459245283	0.234828665533659	-2.0903195659155
ARG16	Neis_high	0.0281123815428571	0.0278929697972028	1.00786338326168	0.0113000935515544
