MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
KO.shannon	Neis_high	9.02136922346993	9.00106887771738	1.00225532361491	0.00325008057915732
KO.shannon	Neis_low	8.98531479956603	9.00522142777536	0.997789437354388	-0.00319269789730969
K00001	Neis_high	1.14042956610685e-06	0	1.11404295661068	0.155804862924239
K00001	Neis_low	4.287859798682e-07	5.79323786721099e-07	0.985770564368032	-0.0206761928742605
K00002	Neis_high	3.42777501715526e-08	0	1.00342777501716	0.00493677776230758
K00002	Neis_low	0	5.42013205835026e-07	0.948585417675722	-0.0761504044254605
K00003	Neis_high	0.000424590594946938	0.000415907546390963	1.0203871676601	0.0291166609037246
K00003	Neis_low	0.000272791364404545	0.000257191622476551	1.05838409821162	0.0818632909888864
K00004	Neis_high	7.86080294300704e-05	7.04975184247555e-05	1.10075479547728	0.138493129440577
K00004	Neis_low	4.84659776259535e-05	5.52285988546328e-05	0.896324291071308	-0.157907299574018
K00005	Neis_high	3.22298396765628e-05	5.50523981745402e-05	0.649166531313067	-0.62333947324138
K00005	Neis_low	5.3278488452557e-05	4.48158115843345e-05	1.15438386523207	0.207123040603259
K00008	Neis_high	1.13752999684403e-05	4.40704096741316e-06	1.48367038150224	0.569170612314469
K00008	Neis_low	6.24962917833664e-06	7.80135833959393e-06	0.912830856406844	-0.131580535039107
K00009	Neis_high	6.79757461111756e-06	7.15990663260166e-06	0.978884965446391	-0.0307887647122206
K00009	Neis_low	1.20355859866387e-05	8.93034252705791e-06	1.16403524950182	0.219134746829935
K00010	Neis_high	4.36791040453054e-05	2.85715698022559e-05	1.39167537957363	0.476822729221215
K00010	Neis_low	3.60388900315771e-05	3.38227281168554e-05	1.0505710623221	0.0711737515323781
K00011	Neis_high	1.81960563154614e-07	2.86817675404999e-07	0.989806652012401	-0.0147813569933626
K00011	Neis_low	0	0	1	0
K00012	Neis_high	5.4104886126572e-05	3.67771766980962e-05	1.37043085221475	0.454629535983025
K00012	Neis_low	5.98393497350311e-05	7.26772299431166e-05	0.844722903550129	-0.243449926551651
K00013	Neis_high	0.000441576712234551	0.000494469896017363	0.89515096103774	-0.159797091421051
K00013	Neis_low	0.000166731852206243	0.000185676768996994	0.903182596033963	-0.146910408662862
K00014	Neis_high	0.00193299793406859	0.00178321815179268	1.08352568934581	0.115733358740729
K00014	Neis_low	0.00180786524363941	0.00178266364799188	1.01405818413051	0.0201404329608827
K00015	Neis_high	2.14740493185876e-06	3.14945047022409e-06	0.923795633845354	-0.114354367324077
K00015	Neis_low	6.12271199146182e-06	3.995996640131e-06	1.1519516906165	0.204080215765129
K00016	Neis_high	0.000526999817112514	0.000544812494098385	0.96789423962988	-0.0470786799260094
K00016	Neis_low	0.000642887037421846	0.000594339913317625	1.08033082547488	0.111473170894958
K00018	Neis_high	6.64205186677446e-05	6.14999919535444e-05	1.06881856318805	0.0960169697984619
K00018	Neis_low	7.35896570700515e-05	9.90822522784952e-05	0.766299332146542	-0.384020046537812
K00019	Neis_high	1.90784193705489e-05	1.14887586217068e-05	1.35319214490014	0.43636670761662
K00019	Neis_low	1.69690814748519e-05	2.18451438682391e-05	0.846882073651098	-0.239767003256012
K00020	Neis_high	4.36766033807089e-05	3.18201909495601e-05	1.28350928491572	0.360093732417748
K00020	Neis_low	4.25962329274501e-05	5.02409242706375e-05	0.87309804031487	-0.195784431485699
K00021	Neis_high	0	7.50743636641312e-08	0.99254850525621	-0.0107904872588045
K00021	Neis_low	0	5.36227760670825e-07	0.949106286153719	-0.0753584376507574
K00022	Neis_high	5.59045673869347e-07	6.67448718699654e-06	0.633245601825988	-0.659162943077295
K00022	Neis_low	2.02149557924241e-06	1.42817050164612e-06	1.05191776562231	0.0730219253848676
K00023	Neis_high	4.32216774914839e-06	2.00978217189893e-06	1.19254184165472	0.2540398856763
K00023	Neis_low	1.28593515383045e-06	2.25927108394049e-06	0.920604094366989	-0.119347235956005
K00024	Neis_high	0.000278768192880297	0.000304735073035928	0.917496070885413	-0.124226115161776
K00024	Neis_low	0.000404912746145806	0.000488465568527272	0.832379952283716	-0.264685876437326
K00025	Neis_high	5.0522324414755e-06	1.86609296506591e-05	0.525182979929241	-0.929107932597078
K00025	Neis_low	6.49531411403112e-06	3.40648783529479e-06	1.2303978727825	0.299124914159454
K00026	Neis_high	8.29727165846894e-07	3.3792330257274e-06	0.809443048418548	-0.304998517329927
K00026	Neis_low	1.85510351193204e-06	9.88025694664782e-07	1.07891115668653	0.109576070493326
K00027	Neis_high	0.000165635914100132	0.000174804006655509	0.950390185141021	-0.0734081576559763
K00027	Neis_low	0.000233315484745768	0.000255180926938514	0.917545192841809	-0.124148876568499
K00029	Neis_high	7.31396287368155e-05	5.77407949053999e-05	1.22731994587486	0.295511389308367
K00029	Neis_low	6.36993506967607e-05	7.881667265531e-05	0.829791845307937	-0.269178615541872
K00030	Neis_high	2.48590439289201e-05	2.12640728318277e-05	1.11498729280827	0.157027268255929
K00030	Neis_low	5.03063859027332e-05	5.43582357153445e-05	0.937042248477218	-0.0938139986630056
K00031	Neis_high	0.000423398295142496	0.000476236359073127	0.891332552688262	-0.165964298827587
K00031	Neis_low	0.000501057571929429	0.000483486768250375	1.03560542006293	0.0504744210241407
K00033	Neis_high	1.12503736790408e-05	1.19793862072069e-05	0.966831988787431	-0.0486628877111353
K00033	Neis_low	6.98948886901664e-06	8.00962781691486e-06	0.943355911722945	-0.0841259176206315
K00034	Neis_high	1.13945261843478e-07	0	1.01139452618435	0.0163458755216095
K00034	Neis_low	0	2.23504685255195e-06	0.817324209748672	-0.291019626044596
K00035	Neis_high	2.68123403025943e-07	1.63713626748915e-06	0.882358268134417	-0.180563535802192
K00035	Neis_low	0	5.29886752534548e-07	0.94967782987723	-0.0744899204628349
K00036	Neis_high	0.000249072503762615	0.000253625504520418	0.982729285749169	-0.0251340454589571
K00036	Neis_low	0.000224495113026644	0.000228849214554076	0.981770500959943	-0.0265422758694485
K00040	Neis_high	9.14822469036674e-07	2.47830541112682e-07	1.0650861589922	0.0909701404257963
K00040	Neis_low	6.93886406252826e-07	4.57992142124019e-07	1.0225563627246	0.0321803658880403
K00041	Neis_high	1.78131877935494e-06	0	1.17813187793549	0.236501040861484
K00041	Neis_low	5.25847371187949e-07	7.09109797910813e-08	1.045173310767	0.0637421900119486
K00042	Neis_high	7.81066483101877e-05	7.23480158226509e-05	1.06993043402453	0.0975169968596007
K00042	Neis_low	7.32173977409198e-05	5.66273761814499e-05	1.24899707162848	0.320770094438242
K00043	Neis_high	1.8218314935091e-06	0	1.18218314935091	0.241453561904169
K00043	Neis_low	0	0	1	0
K00045	Neis_high	5.1848094115148e-07	3.74886769059385e-07	1.01384055318274	0.0198307773705794
K00045	Neis_low	6.37526392248514e-07	4.27717959753182e-07	1.02012026344643	0.0287392436184175
K00046	Neis_high	1.08158472219642e-07	1.72434005614779e-06	0.862151594359404	-0.213986530443375
K00046	Neis_low	3.20673092457969e-06	4.2290213959226e-06	0.928154548166197	-0.107563044589732
K00048	Neis_high	2.80276843816826e-06	2.17263999890213e-06	1.05176596361372	0.0728137153746609
K00048	Neis_low	7.96148129386486e-06	1.14217257590046e-05	0.838470321949422	-0.254168375062124
K00052	Neis_high	0.000605743031135386	0.000674295662538697	0.899820157928541	-0.152291408101775
K00052	Neis_low	0.000428410968747243	0.000429068614763508	0.99850217939941	-0.00216251828943176
K00053	Neis_high	0.000930380221882702	0.00095158393214012	0.977949184102706	-0.0321685926420576
K00053	Neis_low	0.000966533431067344	0.000959131269722616	1.00763793469057	0.0109773415553417
K00054	Neis_high	3.15558675042577e-05	4.8003539145502e-05	0.716436757419487	-0.481088736923598
K00054	Neis_low	4.62450019453013e-05	3.7218644767112e-05	1.19116086924367	0.252368265920353
K00057	Neis_high	0.00048119139150938	0.000485041636130862	0.992222382239251	-0.0112645934304399
K00057	Neis_low	0.000546403515933605	0.000549072800941517	0.995225514452827	-0.00690462278026151
K00058	Neis_high	0.000459542317217271	0.00042687841499425	1.07476657372384	0.104023357955388
K00058	Neis_low	0.000576213809375531	0.000502621399070332	1.14356094076186	0.193533249520701
K00059	Neis_high	0.000499210138704582	0.00042864956403833	1.16085864537662	0.215192309817821
K00059	Neis_low	0.000688156885936486	0.000693556315690126	0.992325518749208	-0.0111146403539627
K00060	Neis_high	4.36094336471684e-06	1.33829325796196e-06	1.26658775161176	0.340947033173205
K00060	Neis_low	1.93938778417539e-06	8.74948751629576e-07	1.09787991252706	0.134720259191509
K00065	Neis_high	1.35373905547709e-06	7.93465220768716e-07	1.05190861537501	0.0730093758546089
K00065	Neis_low	3.59858339002565e-06	4.81535014813384e-06	0.917871211551388	-0.123636354636834
K00066	Neis_high	0	3.9766815316733e-07	0.96175410223626	-0.0562600167254541
K00066	Neis_low	0	1.47259888025603e-06	0.87164208427174	-0.198192241131555
K00067	Neis_high	5.01869062552729e-05	3.03014963174623e-05	1.4934161694933	0.57861625656356
K00067	Neis_low	3.64932029160647e-05	3.85047247637856e-05	0.958529362706069	-0.0611054681252918
K00068	Neis_high	9.74131347291943e-07	5.35029218763749e-07	1.04168020034972	0.0589124329101303
K00068	Neis_low	2.75339270413211e-07	1.83050341788509e-06	0.868546240803175	-0.203325435817484
K00073	Neis_high	3.76011286547782e-07	0	1.03760112865478	0.0532519540004052
K00073	Neis_low	1.92551335595142e-07	0	1.01925513355951	0.0275152230930312
K00074	Neis_high	3.58980579415629e-05	2.21962679130417e-05	1.42557075452124	0.511539645493829
K00074	Neis_low	6.62085567724327e-05	6.0035981013906e-05	1.08813435136007	0.121856696362603
K00075	Neis_high	0.000631462147780886	0.000657300632529163	0.961279094475986	-0.0569727359392885
K00075	Neis_low	0.000696301881747598	0.000719771177422808	0.967840199227801	-0.0471592321118278
K00076	Neis_high	1.81100195226567e-07	1.43085617260888e-07	1.00374783171513	0.00539687125222466
K00076	Neis_low	3.68844684428143e-07	0	1.03688446844281	0.0522551553951214
K00077	Neis_high	0.000453431578201097	0.000375806304663765	1.20120270871411	0.264479633291095
K00077	Neis_low	0.000488658490864854	0.000455786224271497	1.07057372004672	0.0983841435832065
K00082	Neis_high	0	1.4710245520277e-06	0.871761711837006	-0.197994253613323
K00082	Neis_low	3.03111036288509e-06	1.38911874510557e-06	1.14417196400601	0.194303899121729
K00086	Neis_high	0	6.22626122522265e-07	0.941386798768888	-0.0871404728822866
K00086	Neis_low	7.23184806292785e-07	1.33621272894416e-06	0.945923039968528	-0.080205283809275
K00087	Neis_high	1.49827626057369e-08	3.37837849220009e-07	0.968769573355358	-0.0457745406093186
K00087	Neis_low	3.5920546009025e-08	1.3135255156428e-08	1.00227554010527	0.00327918088479014
K00088	Neis_high	0.000855130718908627	0.000895512505134729	0.955404496351938	-0.0658164284095863
K00088	Neis_low	0.000748437922275938	0.00070670596303339	1.05822744806799	0.0816497436460352
K00089	Neis_high	2.83182532085689e-07	0	1.02831825320857	0.0402868319137601
K00089	Neis_low	1.42884084447449e-07	0	1.01428840844474	0.0204679346601347
K00090	Neis_high	4.68261058961829e-05	2.3967425350096e-05	1.67295888076552	0.74240198617441
K00090	Neis_low	3.97692119753515e-05	4.14380891747422e-05	0.967555614406257	-0.04758350616556
K00091	Neis_high	0	1.77350628627321e-07	0.982573988545854	-0.0253620474253546
K00091	Neis_low	2.02299353389831e-07	4.52182564808916e-07	0.976092724187539	-0.0349098913907546
K00094	Neis_high	0	4.74362398655608e-08	0.99527877174504	-0.00682742221162397
K00094	Neis_low	0	0	1	0
K00096	Neis_high	4.2743514923522e-06	3.48505292904186e-07	1.37936359776903	0.464002798806613
K00096	Neis_low	3.53615823702668e-07	2.17413165661385e-06	0.850460313370921	-0.233684180619932
K00097	Neis_high	3.98314150789133e-06	9.11895850363871e-06	0.731375692103211	-0.451315416615133
K00097	Neis_low	5.09046530686325e-06	1.02455448539086e-05	0.745372150552417	-0.42396717843732
K00098	Neis_high	0	1.34417440959917e-08	0.998657629969844	-0.00193793158738772
K00098	Neis_low	8.49034589344591e-07	0	1.08490345893446	0.117566668924816
K00099	Neis_high	0.000162101767115285	0.000164627750042188	0.98553504281941	-0.0210209245795803
K00099	Neis_low	0.000231062831276905	0.000278194383582166	0.836459157463685	-0.257632996659749
K00100	Neis_high	0	0	1	0
K00100	Neis_low	4.25865939067307e-07	0	1.04258659390673	0.0601672142805701
K00101	Neis_high	0.000341771936325318	0.000375135570639038	0.913371714125597	-0.130725982774121
K00101	Neis_low	9.91217221622146e-05	0.000116248623415639	0.864339897021778	-0.2103293388437
K00102	Neis_high	6.31987939913833e-06	1.2865868473196e-06	1.44595346847608	0.532021126369986
K00102	Neis_low	9.25614770972216e-07	1.94916016834548e-06	0.914341645525454	-0.129194763073235
K00104	Neis_high	1.05694260049911e-05	2.89263944942365e-06	1.59543948201472	0.673953885550401
K00104	Neis_low	6.44559472922951e-06	1.04728841827302e-05	0.80328665870645	-0.316013179007417
