MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
M00124	Neis_high	-185.399425530057	-308.084804294273	122.685378764216	122.685378764216
M00124	Neis_low	-599.67681587664	-772.302749386408	172.625933509768	172.625933509768
M00485	Neis_high	353.069622722779	304.784162711939	48.28546001084	48.28546001084
M00485	Neis_low	301.300435570343	338.644705675618	-37.344270105275	-37.344270105275
M00032	Neis_high	115.135689620043	171.584091998288	-56.448402378245	-56.448402378245
M00032	Neis_low	-756.38737019483	-590.947027683263	-165.440342511566	-165.440342511566
M00436	Neis_high	-343.064405089017	-666.526480168439	323.462075079421	323.462075079421
M00436	Neis_low	-973.007598838777	-776.878651423512	-196.128947415265	-196.128947415265
M00450	Neis_high	-282.218774234521	-313.803334155351	31.5845599208298	31.5845599208298
M00450	Neis_low	-289.855137500883	-283.102451601813	-6.75268589906977	-6.75268589906977
M00499	Neis_high	692.331002602634	723.971790071296	-31.6407874686623	-31.6407874686623
M00499	Neis_low	714.968381876114	694.5676356499	20.4007462262146	20.4007462262146
M00099	Neis_high	243.787983269847	221.40865986912	22.3793234007269	22.3793234007269
M00099	Neis_low	-556.299477253552	-499.957248792626	-56.3422284609257	-56.3422284609257
M00193	Neis_high	-32.4696737474741	-299.411536174389	266.941862426915	266.941862426915
M00193	Neis_low	-1004.11453053562	-1029.62403774902	25.5095072134054	25.5095072134054
M00417	Neis_high	-1035.9927935056	-960.179882943478	-75.8129105621214	-75.8129105621214
M00417	Neis_low	-832.530859566743	-897.594161420416	65.063301853673	65.063301853673
M00299	Neis_high	-247.019127134844	-54.8611213681901	-192.158005766654	-192.158005766654
M00299	Neis_low	546.082787972698	116.296522583893	429.786265388804	429.786265388804
M00300	Neis_high	-867.608543467968	-946.568929837253	78.9603863692851	78.9603863692851
M00300	Neis_low	-913.175627873123	-1046.19346298823	133.017835115106	133.017835115106
M00402	Neis_high	55.9768045623936	106.586774575256	-50.6099700128625	-50.6099700128625
M00402	Neis_low	39.0010778267179	-45.5180429474938	84.5191207742117	84.5191207742117
M00083	Neis_high	-87.7185337417844	-10.9754794190843	-76.7430543227	-76.7430543227
