MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
metagTaxa.shannon	Neis_high	2.43329633027474	2.31052324644208	1.05313625502759	0.0746921046785589
metagTaxa.shannon	Neis_low	2.68036079793768	2.67585010295737	1.00168569910487	0.00242990227189458
Neisseria_flavescens	Neis_high	0.249817178960714	0.256476955433566	0.974034638675505	-0.0379550164639422
Neisseria_flavescens	Neis_low	0.0519642484545455	0.0582250821622642	0.89249034301568	-0.164091536007543
Streptococcus_mitis	Neis_high	0.068288600425	0.0724075023356643	0.943122839399062	-0.0844824043155864
Streptococcus_mitis	Neis_low	0.0786580680808081	0.0798032262339623	0.98565202526963	-0.0208496876597222
Rothia_mucilaginosa	Neis_high	0.0887410426142857	0.084943789041958	1.04469787180949	0.0630857730578349
Rothia_mucilaginosa	Neis_low	0.0443250996060606	0.0473873531320755	0.935391887443974	-0.0963571784194775
Streptococcus_salivarius	Neis_high	0.0491015104285714	0.0525445580769231	0.934486222045438	-0.0977547016855259
Streptococcus_salivarius	Neis_low	0.0699712188047138	0.0648799155849057	1.0784606232558	0.108973501792141
Streptococcus_parasanguinis	Neis_high	0.0380737097785714	0.0295999465839161	1.28617961773893	0.363092132188481
Streptococcus_parasanguinis	Neis_low	0.0706046840774411	0.0617780737584906	1.14285297763855	0.192639819935128
Streptococcus_sanguinis	Neis_high	0.0347153874285714	0.0616808473391608	0.562893669423277	-0.829065671842411
Streptococcus_sanguinis	Neis_low	0.0461558209461279	0.0338355045871698	1.36401632976772	0.447860916161124
Porphyromonas_endodontalis	Neis_high	0.0216961682607143	0.0203528616146853	1.06596846118427	0.0921647537010624
Porphyromonas_endodontalis	Neis_low	0.0470662680003367	0.0439159069207547	1.07171988697389	0.0999278810935139
Porphyromonas_somerae	Neis_high	0.0408620297928571	0.0358742930244755	1.13899498493616	0.187761394786442
Porphyromonas_somerae	Neis_low	0.0213512378989899	0.017246424149434	1.23787163053074	0.307861712291235
Porphyromonas_gingivalis	Neis_high	0.0211458900157143	0.0184484386643357	1.14613648534589	0.196778854746718
Porphyromonas_gingivalis	Neis_low	0.0314968574444444	0.0285752692188679	1.10220607695547	0.140393986528525
Prevotella_melaninogenica	Neis_high	0.0186267408785714	0.0151021203727273	1.23323136786318	0.302443490701993
Prevotella_melaninogenica	Neis_low	0.0269666754511785	0.0349709899358491	0.77118101862327	-0.374858552493612
Prevotella_intermedia	Neis_high	0.0156289097596429	0.0119018519335664	1.31288651394112	0.392742214897681
Prevotella_intermedia	Neis_low	0.0232034854276094	0.0237693102943396	0.976205160716336	-0.0347437163168135
Actinomyces_graevenitzii	Neis_high	0.0140135537057143	0.00963963661188811	1.45327272619133	0.539305469524325
Actinomyces_graevenitzii	Neis_low	0.0207628264505051	0.0217517665698113	0.954556073555253	-0.067098146431569
Streptococcus_oralis	Neis_high	0.0135564532928571	0.0153649967307692	0.882371133498016	-0.180542500513442
Streptococcus_oralis	Neis_low	0.0178219294444444	0.0182593003924528	0.976059786712519	-0.0349585748123724
Gemella_haemolysans	Neis_high	0.0135865776714286	0.0156971553041958	0.865629543230948	-0.208178356876231
Gemella_haemolysans	Neis_low	0.0152251197138047	0.0159236179879245	0.956161979366571	-0.0646730550978549
Streptococcus_anginosus_group	Neis_high	0.00845855704642857	0.00959765419230769	0.881438577713264	-0.182068054798382
Streptococcus_anginosus_group	Neis_low	0.014359983996633	0.0161149848796226	0.891162633882066	-0.166239352607976
Prevotella_pallens	Neis_high	0.00715796206857143	0.00682833652097902	1.04820259233823	0.0679175820610758
Prevotella_pallens	Neis_low	0.0162777278350168	0.0199229940490566	0.817124000284729	-0.291373067897866
Eubacterium_nodatum	Neis_high	0.0076402701725	0.00811943667167832	0.941057847114098	-0.0876446863017104
Eubacterium_nodatum	Neis_low	0.0155706328653199	0.0150493422377358	1.0346157633816	0.0490950776896974
Mogibacterium_diversum	Neis_high	0.00678406642392857	0.00391808196188811	1.72961422135471	0.790450290461773
Mogibacterium_diversum	Neis_low	0.0162716489774411	0.0162554733509434	1.00099447622265	0.00143401298691752
Eubacterium_brachy	Neis_high	0.00752748701857143	0.00533285546153846	1.41076004635189	0.496472623387289
Eubacterium_brachy	Neis_low	0.0158926548848485	0.0151173036641509	1.05125508404614	0.0721127776128032
Peptostreptococcus_stomatis	Neis_high	0.00707665401428571	0.0035472389520979	1.99217823421908	0.99434672678399
Peptostreptococcus_stomatis	Neis_low	0.0150973122060606	0.0146014152796226	1.03393900706727	0.0481510823675959
Streptococcus_infantis	Neis_high	0.0118425174	0.00971072171678322	1.21930426004647	0.286058174923016
Streptococcus_infantis	Neis_low	0.00845581109427609	0.00894305038867925	0.9455784036445	-0.0807310091506602
Alloprevotella_tannerae	Neis_high	0.00770549957857143	0.0071208070979021	1.08199527383672	0.113694197475991
Alloprevotella_tannerae	Neis_low	0.011640500579798	0.0112299288490566	1.03652796527941	0.0517590405434807
Lautropia_mirabilis	Neis_high	0.0116813965575	0.0134662938951049	0.867552804094512	-0.204976524070392
Lautropia_mirabilis	Neis_low	0.00487727892188552	0.00665987001245283	0.732739755461626	-0.448627202355386
Eubacterium_saphenum	Neis_high	0.00640751667142857	0.00621756106223776	1.03050240813256	0.0433478762472241
Eubacterium_saphenum	Neis_low	0.0152225667602694	0.0124332246150943	1.22416553839198	0.291798660374595
Pseudomonas_fluorescens_group	Neis_high	0.00926496067142857	0.00462119595454545	2.00271393446985	1.00195636284033
Pseudomonas_fluorescens_group	Neis_low	0.0079123058989899	0.00828143406792453	0.95548078101922	-0.0657012404257272
Parvimonas_micra	Neis_high	0.00447702472857143	0.00303909387762238	1.47159284320571	0.557378565184912
Parvimonas_micra	Neis_low	0.0126395115117845	0.0119817833735849	1.05484823380386	0.0770354462417808
