MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
bact.shannon	Neis_high	2.98163838302261	2.94954133676168	1.01088200970123	0.0156146154874147
bact.shannon	Neis_low	3.0226759816974	2.97029810232419	1.0176338203206	0.025218523453079
Prevotella	Neis_high	0.13907610129397	0.134841550380841	1.03140157381335	0.0446061520565779
Prevotella	Neis_low	0.183832605631206	0.194986097546135	0.942801460873902	-0.0849741008369345
Neisseriaceae	Neis_high	0.177121735356784	0.18159062646729	0.9753916536664	-0.0359464674649987
Neisseriaceae	Neis_low	0.0737886998463357	0.07404359780798	0.996557926026696	-0.00497442914804786
Streptococcus	Neis_high	0.0785070131809045	0.0786275119836449	0.998467667660119	-0.00221238375455755
Streptococcus	Neis_low	0.0927038826595745	0.0921499095386534	1.00601099896576	0.00864607856949086
Veillonella	Neis_high	0.0630612847261307	0.0657661185303738	0.958878178514074	-0.0605805564086904
Veillonella	Neis_low	0.0782066940874705	0.082050143361596	0.953163020235177	-0.0692051143602564
Fusobacterium	Neis_high	0.0690483217964824	0.0661003131565421	1.04459226555106	0.0629399267507827
Fusobacterium	Neis_low	0.0679105210283688	0.068572178478803	0.990352341306296	-0.01398620543154
Porphyromonas	Neis_high	0.0678849416030151	0.0636161429626168	1.06709189716099	0.0936844253370697
Porphyromonas	Neis_low	0.0663515757683215	0.0627938197830424	1.05664871973663	0.0794958360155903
Haemophilus	Neis_high	0.0547243011306533	0.0586734426238318	0.93270433163758	-0.100508277350482
Haemophilus	Neis_low	0.0410358141702128	0.0378238217930175	1.08489738083474	0.117558586298826
Rothia	Neis_high	0.0341832619798995	0.0340243323878505	1.00466968443035	0.00672124969782617
Rothia	Neis_low	0.0275675058865248	0.0265479212493766	1.03839098051291	0.0543497572229884
Gemellaceae	Neis_high	0.0288980755954774	0.0289024431588785	0.999848938279719	-0.000217952457269114
Gemellaceae	Neis_low	0.0286927884609929	0.0291946900149626	0.982814350924028	-0.0250091709929742
Leptotrichia	Neis_high	0.0229856101758794	0.0215463741074766	1.0667661482041	0.0932439495431408
Leptotrichia	Neis_low	0.02591392721513	0.0259974829102244	0.996787244064224	-0.00464248864727433
Prevotella_7	Neis_high	0.022090437241206	0.023224922567757	0.951173268460757	-0.0722199243801326
Prevotella_7	Neis_low	0.0236285748108747	0.0251516115461347	0.939469825592553	-0.0900812697689901
Granulicatella	Neis_high	0.0188224449472362	0.021757030338785	0.865182096690519	-0.208924283127743
Granulicatella	Neis_low	0.0193514988108747	0.0198493664862843	0.974930334471977	-0.0366289628996206
Actinomyces	Neis_high	0.0181281140603015	0.0158519543971963	1.14349805869493	0.193453916502915
Actinomyces	Neis_low	0.0212270679810875	0.0210771238778055	1.00711069485582	0.0102222634268294
Actinobacillus	Neis_high	0.0172523673316583	0.0193675534579439	0.89084348904642	-0.166756105800582
Actinobacillus	Neis_low	0.0158185184940898	0.015292856521197	1.03435057841421	0.0487252494989378
Treponema	Neis_high	0.0144496644623116	0.013687702	1.05562702870245	0.0781001955984992
Treponema	Neis_low	0.0201280233877069	0.0174610238029925	1.1526527360267	0.204957932353906
Acinetobacter	Neis_high	0.00880258631658291	0.00918641823130841	0.958262890500263	-0.0615065946758451
Acinetobacter	Neis_low	0.0121166131040189	0.00985751109725686	1.22894344728835	0.297418528246089
Mogibacteriaceae	Neis_high	0.00961253454522613	0.00852298221962617	1.12768716698998	0.173366903528056
Mogibacteriaceae	Neis_low	0.0145128133711584	0.0135690826608479	1.06949885598911	0.096934939296115
Bulleidia	Neis_high	0.00854941876884422	0.0077508674088785	1.1028946015818	0.141294925978482
Bulleidia	Neis_low	0.0146552056997636	0.0138875283516209	1.05523840849392	0.0775689817711392
Clostridiaceae	Neis_high	0.00827118506532663	0.00737325952336449	1.12161641333623	0.165579366502475
Clostridiaceae	Neis_low	0.0117186221583924	0.0109080087057357	1.07424554005264	0.103323787484395
Lachnospiraceae	Neis_high	0.00802209075628141	0.00744376964252336	1.07758773633931	0.107805337183139
Lachnospiraceae	Neis_low	0.00861488245390071	0.00879986094513716	0.979003245069543	-0.0306144529971273
Aggregatibacter	Neis_high	0.00802835726130653	0.00848248261915888	0.946526195199052	-0.0792856616886319
Aggregatibacter	Neis_low	0.00583425241371158	0.00550500544638404	1.05970020710377	0.08365617903548
SR1	Neis_high	0.00679949189949749	0.00575269249766355	1.18165109491064	0.240804115085061
SR1	Neis_low	0.0078000328534279	0.00673400674314214	1.15807014300064	0.211722638382832
Neisseria	Neis_high	0.00789676025879397	0.00973272588551402	0.811555241490489	-0.30123879443094
Neisseria	Neis_low	0.00476144573522459	0.00474154434413965	1.00418840478875	0.00602997163369745
Atopobium	Neis_high	0.00399052249246231	0.00371838844626168	1.07298972468212	0.101636260417703
Atopobium	Neis_low	0.00812520618912529	0.00781498059850374	1.03964554118906	0.0560917368917434
Lautropia	Neis_high	0.00649305889447236	0.0081576116635514	0.796200794351275	-0.328795784113622
Lautropia	Neis_low	0.00428326696926714	0.00413419623441397	1.03597096431276	0.0509835684404732
