MicrobialFeature	NeissGroup	mean.Occup_Y	mean.Occup_N	FC	logFC
fung.shannon	Neis_high	2.24283881499401	2.08660921760428	1.07487211661412	0.104165024743597
fung.shannon	Neis_low	2.00510444751397	2.10725326226486	0.951525366298509	-0.0716859776994009
unclassified_Ascomycota	Neis_high	0.0926198836946108	0.0951167125347594	0.973752600362004	-0.0383728190564613
unclassified_Ascomycota	Neis_low	0.0929173459888268	0.0915259266162162	1.01520080064786	0.0217651120874083
Dothideomycetes	Neis_high	0.00020270528742515	0.00158519698930481	0.133341078782907	-2.90680679062997
Dothideomycetes	Neis_low	0.000296452279329609	0.000118691427027027	2.38129521452311	1.25174648584438
Neodeightonia	Neis_high	0.000202705293413174	0.000278877245989305	0.736317229433324	-0.441600634681763
Neodeightonia	Neis_low	6.64462011173184e-05	2.96728540540541e-05	1.9269145853021	0.946292622442043
Phyllostictaceae	Neis_high	0.000147920077844311	5.38184117647059e-05	2.4745222182362	1.30714999593104
Phyllostictaceae	Neis_low	0.000378232217877095	4.94547567567568e-06	25.9765715258536	4.69913912655671
Capnodiales	Neis_high	0.00191748249101796	0.000973624069518717	1.95957231095521	0.97053881138444
Capnodiales	Neis_low	0.0015180401452514	0.00170618925405405	0.890368088275694	-0.167526208981338
Cladosporium	Neis_high	0.0406561076886228	0.0632708875935829	0.642628591902788	-0.637942924101829
Cladosporium	Neis_low	0.0328039785530726	0.0513389875945946	0.639038471647042	-0.646025307402626
Toxicocladosporium	Neis_high	0.00134223773652695	0.00228972896791444	0.587998740457339	-0.766115030196296
Toxicocladosporium	Neis_low	0.000235117318435754	0.000855567356756757	0.28318687912885	-1.82017367217217
Ramichloridium	Neis_high	0.000317754245508982	0.00126717906951872	0.256623564644299	-1.96227444186218
Ramichloridium	Neis_low	0.00124203283798883	0.000954476891891892	1.29814705620668	0.376453823431731
Uwebraunia	Neis_high	0.000202705293413174	0.000127207160427807	1.55024921986553	0.632500163474899
Uwebraunia	Neis_low	0.00017889361452514	2.47273783783784e-05	5.43932837276156	2.44342852406659
Mycosphaerellaceae	Neis_high	0.000191748239520958	0.000273984657754011	0.710419503351176	-0.493256905933314
Mycosphaerellaceae	Neis_low	0.000705351983240224	0.00059345712972973	1.18542303669626	0.245401999234085
Mycosphaerella	Neis_high	0.00121623176047904	0.000464795406417112	2.5826529572651	1.36885379503539
Mycosphaerella	Neis_low	0.000797354413407821	0.000272001178378378	2.86294694954978	1.51750093742405
Pallidocercospora	Neis_high	0.000936827161676647	0.000455010245989305	2.03614257931517	1.0258385885594
Pallidocercospora	Neis_low	0.000460012156424581	0.000187928086486486	2.37466124574832	1.24772172231259
Passalora	Neis_high	0.000356103886227545	0.000107636834224599	3.11215350736623	1.63791322319494
Passalora	Neis_low	0.000138003648044693	4.45092864864865e-05	2.71520061231006	1.44105879533816
Phaeophleospora	Neis_high	0.000734121874251497	0.000699639411764706	1.04859152678829	0.0684527932233396
Phaeophleospora	Neis_low	2.04449832402235e-05	9.39640378378378e-05	0.292841485126917	-1.77180814868567
Pseudocercospora	Neis_high	0.00139154443712575	0.000802383668449198	1.72522478178473	0.786784344754003
Pseudocercospora	Neis_low	0.000485568391061453	0.000726984978378378	0.672426719133237	-0.572551043134287
Septoria	Neis_high	0.0056154844491018	0.00915402337967914	0.613866226222871	-0.704003797259424
Septoria	Neis_low	0.00243806444134078	0.00600380797297297	0.407073929254606	-1.2966372667759
Zasmidium	Neis_high	0.000208183814371257	0.000264199497326203	0.795711941483589	-0.329681844780425
Zasmidium	Neis_low	0.000138003648044693	0.000286837610810811	0.498601399062677	-1.00404116388716
