V1	PC1	PC2	Aspergillus
S1034	-0.164114818	-0.032831578	0.140896615
S1039	0.374519021	0.075563941	0.025617566
S1043	0.079387266	0.112165787	0.16010979
S1088	-0.165992094	0.182306298	0.027447392
S1089	-0.006584081	-0.233908381	0.131747484
S1106	-0.1435274	0.014303098	0.054894785
S1120	0.472242018	-0.129785436	0.272644099
S1180	-0.098775611	-0.011057246	0.012808783
S1209	-0.207225229	0.034552532	0.088746569
S1217	-0.155509689	0.153294427	0.117108875
S1275	-0.245084899	0.378653309	0.018298262
S1278	-0.271927526	0.02012579	0.250686185
S1283	0.39112794	0.167557681	0.014638609
S1295	-0.212990143	0.217364183	0.038426349
S1317	-0.196291356	0.310705909	0
S1329	-0.114951631	0.135645311	0.070448307
S1330	-0.183898325	0.171642293	0.028362306
S1331	-0.259794531	0.20434471	0.135407136
S1332	-0.254375134	0.317690917	0
S1334	-0.05294438	0.064026972	0.041171089
S1336	-0.215377847	0.284065121	0.016468435
S1340	0.073582629	-0.171747222	0.067703568
S1344	0.034605175	0.095657049	0.040256176
S1378	-0.006725662	-0.069753308	0.098810613
S1380	-0.156731432	0.089687415	0.029277219
S1381	-0.171446811	0.167909327	0.041171089
S1399	-0.175852503	0.148983536	0.107044831
S1410	-0.084756858	-0.275278604	0.555352242
S1413	-0.188500005	0.044225934	0.046660567
S1415	-0.080548681	0.021749549	0.028362306
S1416	-0.156690995	-0.206141039	0.246111619
S1419	-0.103278198	-0.132482367	0.066788655
S1423	-0.060234993	-0.081252914	0.206770357
S1424	0.424534411	0.005363963	0.081427264
S1430	-0.263854566	0.053399801	0.178408051
S1436	-0.089895007	-0.041337798	0.018298262
S1449	-0.032885156	0.257747871	0.041171089
S1450	0.423364004	0.229094926	0.007319305
S1455	0.066635868	0.2280575	0.080512351
S1469	0.079955235	-0.175528808	0.096065874
S1487	-0.143773938	-0.016208922	0.10978957
S1494	-0.058461205	-0.122229821	0.099725526
S1511	-0.030878708	-0.01231845	0.085086917
S1512	-0.2601926	0.036152278	0.244281793
S1515	-0.127922812	0.000961529	0.098810613
S1566	-0.076666295	-0.241267302	0.177493138
S706	0.441262033	0.073154865	0.001829826
S713	-0.085007073	-0.15470499	0.020128088
S717	-0.068616898	-0.147862193	0.02378774
S718	0.157821474	-0.161230675	0.000914913
S1026	-0.147861006	0.193430799	0.007319305
S1052	-0.023522604	0.345401095	0.021043001
S1053	-0.229354492	0.284933004	0.053979872
S1057	-0.178521234	0.286400884	0.024702653
S1074	0.015606069	-0.203620574	0.030192132
S1083	0.49215691	-0.00154932	0.038426349
S1085	-0.266282532	0.292356657	0.025617566
S1092	-0.122227474	-0.333966877	0.406221409
S1096	0.356711765	0.216413897	0.036596523
S1107	0.034712514	-0.207166975	0.03568161
S1115	0.01845359	-0.195209645	0.019213175
S1122	0.346850187	0.027714438	0.039341263
S1123	-0.066966	-0.335382302	0.728270814
S1124	-0.162946238	0.23204595	0.014638609
S1127	0.055332056	-0.04435333	0.032936871
S1131	0.178572667	0.028445299	0.009149131
S1134	-0.216229699	0.33002	0.012808783
S990	0.511092929	0.042694565	0.045745654
S991	-0.08246087	-0.071681366	0.103385178
S999	-0.064489075	0.115220441	0.080512351
S1001	-0.227694085	0.30889463	0.019213175
S1005	-0.205881986	-0.030223322	0.414455627
S1006	0.565012194	0.138630935	0
S1007	-0.237379635	0.267152158	0.021043001
S1013	-0.118321863	-0.351486684	0.424519671
S1015	0.186271929	0.186659473	0.039341263
S1016	0.284924614	0.18250672	0.018298262
S1414	-0.171658745	-0.118600964	0.146386093
S1417	-0.139517123	0.01859268	0.008234218
S1421	-0.043105375	-0.175070927	0.000914913
S1422	-0.057589748	0.056936076	0.039341263
S1425	0.636645374	0.10471756	0.004574565
S1428	-0.232263426	0.26556416	0.045745654
S1435	-0.138112348	0.015499518	0.018298262
S1445	0.002889066	-0.09897955	0.102470265
S1446	0.011206567	-0.159481566	0.038426349
S1453	-0.067745013	-0.231192106	0.055809698
S1454	-0.166843763	0.281858274	0.041171089
S1462	-0.076588318	-0.148055146	0.060384263
S1470	-0.269321449	0.197125016	0.124428179
S1474	-0.241146878	-0.065840173	0.216834401
S1475	-0.120538166	-0.028441611	0.166514181
S1476	-0.245399454	0.183884786	0.04757548
S1248	0.295374794	0.279198406	0.006404392
S1250	0.499439849	0.192779847	0.013723696
S1251	0.663417738	0.097161841	0.001829826
S1255	0.250223088	-0.039897944	0.032021958
S1264	-0.238201422	0.184633165	0.029277219
S1273	0.570746716	0.121058561	0.010978957
S1280	-0.204053225	0.255601992	0.019213175
S1281	-0.216222492	0.081511037	0.057639524
S1285	-0.050151032	0.398583083	0.007319305
S1292	-0.219692015	0.244487378	0.009149131
