phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ARG.alpha.st	Neis_high	557	0:1	280:277	-0.00551	6.69544769349439e-06	0.0041392772248522	0.948725226058967
Occupational_pollution	ARG.alpha.st	Neis_low	555	0:1	260:295	-0.0072	1.11520823655592e-05	0.00672280985124595	0.934682587460733
Occupational_pollution	ARG.pco1	Neis_high	557	0:1	280:277	0.00013	9.65262782898213e-08	5.85583029190565e-05	0.993897165861124
Occupational_pollution	ARG.pco1	Neis_low	555	0:1	260:295	0.01405	0.00123302944555152	0.711141384575286	0.399435115998975
Occupational_pollution	ARG.abund.st	Neis_high	557	0:1	280:277	0.12737	0.00577312781012077	3.28861056682263	0.0703099196977397
Occupational_pollution	ARG.abund.st	Neis_low	555	0:1	260:295	-0.12571	0.00250604830881551	1.38178177609488	0.240311143283935
Occupational_pollution	ARG1	Neis_high	557	0:1	280:277	-0.13319	0.00307497109288767	1.79112699018165	0.181344934722171
Occupational_pollution	ARG1	Neis_low	555	0:1	260:295	0.02732	0.000198627908197718	0.118833925025259	0.730435634817042
Occupational_pollution	ARG2	Neis_high	557	0:1	280:277	0.01057	3.11816513890173e-05	0.0172815573495134	0.895460287684022
Occupational_pollution	ARG2	Neis_low	555	0:1	260:295	-0.13936	0.00342403537562372	1.9225624712313	0.166141358989245
Occupational_pollution	ARG3	Neis_high	557	0:1	280:277	0.06959	0.00164607400079361	0.940056735540083	0.332691759299272
Occupational_pollution	ARG3	Neis_low	555	0:1	260:295	-0.12226	0.00360404387472002	2.00395859640306	0.157460194401943
Occupational_pollution	ARG4	Neis_high	557	0:1	280:277	0.12237	0.00199794039514913	1.11955930399043	0.29048039950201
Occupational_pollution	ARG4	Neis_low	555	0:1	260:295	-0.07931	0.00282146170562218	1.59348516745363	0.207368799605792
Occupational_pollution	ARG5	Neis_high	557	0:1	280:277	0.07642	0.00058073600818722	0.321107700336019	0.571175149759959
Occupational_pollution	ARG5	Neis_low	555	0:1	260:295	0	0.00104146965770013	0.94028103822477	0.332635709020787
Occupational_pollution	ARG6	Neis_high	557	0:1	280:277	0	9.77610954860375e-05	0.075897298844193	0.783040277829326
Occupational_pollution	ARG6	Neis_low	555	0:1	260:295	0.0913	0.000947013732780867	0.531293259139728	0.466376754360635
Occupational_pollution	ARG7	Neis_high	557	0:1	280:277	0.03357	0.000265841959231929	0.148914664983146	0.699724746062158
Occupational_pollution	ARG7	Neis_low	555	0:1	260:295	0.09469	0.00177413939745966	1.0106769409146	0.315186854552447
Occupational_pollution	ARG8	Neis_high	557	0:1	280:277	0.16928	0.00937189556958428	5.22635825929446	0.0226285131798065
Occupational_pollution	ARG8	Neis_low	555	0:1	260:295	0.1682	0.0046121742776707	2.55638108430204	0.11042932676283
Occupational_pollution	ARG9	Neis_high	557	0:1	280:277	-0.00711	2.56303266601733e-05	0.0141580140545688	0.905328980170402
Occupational_pollution	ARG9	Neis_low	555	0:1	260:295	-0.05818	0.00048082720024986	0.266188701757898	0.606109200805855
Occupational_pollution	ARG10	Neis_high	557	0:1	280:277	0.15761	0.00621030243513898	3.5269938480657	0.0609089064996743
Occupational_pollution	ARG10	Neis_low	555	0:1	260:295	-0.06997	0.000923584778014741	0.543302277869829	0.461384559923822
Occupational_pollution	ARG11	Neis_high	557	0:1	280:277	-0.02618	0.000134354386026728	0.0778806426594873	0.780295788819131
Occupational_pollution	ARG11	Neis_low	555	0:1	260:295	-0.09758	0.0022008626901797	1.2235033427154	0.269162228457229
Occupational_pollution	ARG12	Neis_high	557	0:1	280:277	-0.12042	0.00197560271399728	1.08811589164029	0.297349830076494
