phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	bact.alpha.st	Neis_high	815	0:1	421:394	-0.01065	3.46175890150874e-05	0.0302781380637038	0.861904381999814
Occupational_pollution	bact.alpha.st	Neis_low	811	0:1	390:421	0.1961	0.00681650667572822	5.73928869723207	0.0168180892372673
Occupational_pollution	bact.pco1	Neis_high	815	0:1	421:394	0.00643	0.00114573719827164	0.988868928612209	0.32031778543214
Occupational_pollution	bact.pco1	Neis_low	811	0:1	390:421	0.01423	0.00537016932245102	4.57811013797358	0.0326845022696144
Occupational_pollution	Prevotella	Neis_high	815	0:1	421:394	-0.03583	0.000417343460545866	0.358535257416435	0.54948929465058
Occupational_pollution	Prevotella	Neis_low	811	0:1	390:421	-0.19138	0.00807554305074559	7.04747330646166	0.00809527236271205
Occupational_pollution	Neisseriaceae	Neis_high	815	0:1	421:394	0.0859	0.00333430428381401	2.86586119952044	0.090864188777648
Occupational_pollution	Neisseriaceae	Neis_low	811	0:1	390:421	0.00573	3.14945148227261e-05	0.026149862877981	0.871575645247401
Occupational_pollution	Streptococcus	Neis_high	815	0:1	421:394	0.06861	0.00123181046678851	1.06622569535704	0.302109644333865
Occupational_pollution	Streptococcus	Neis_low	811	0:1	390:421	0.1104	0.00243579883898598	2.1383747484666	0.14404623584967
Occupational_pollution	Veillonella	Neis_high	815	0:1	421:394	-0.01536	6.97608210814549e-05	0.0591116097614524	0.807967564875708
Occupational_pollution	Veillonella	Neis_low	811	0:1	390:421	-0.03766	0.000260194623560715	0.216135620187857	0.642126640698583
Occupational_pollution	Fusobacterium	Neis_high	815	0:1	421:394	0.08197	0.00181708883667654	1.59179912127955	0.207434730271095
Occupational_pollution	Fusobacterium	Neis_low	811	0:1	390:421	0.02313	9.92761397337338e-05	0.0834054899645148	0.772809088562654
Occupational_pollution	Porphyromonas	Neis_high	815	0:1	421:394	0.03056	0.000284931285915044	0.249051625700126	0.617879996719538
Occupational_pollution	Porphyromonas	Neis_low	811	0:1	390:421	0.07174	0.000928460683114724	0.759899766402138	0.383621097124741
Occupational_pollution	Haemophilus	Neis_high	815	0:1	421:394	-0.01182	4.79301980470005e-05	0.0395173563807224	0.842477425538854
Occupational_pollution	Haemophilus	Neis_low	811	0:1	390:421	0.06568	0.000824652993207636	0.697680478990414	0.403813252080363
Occupational_pollution	Rothia	Neis_high	815	0:1	421:394	0.07399	0.00105678692175395	0.913941022940444	0.339357906865815
Occupational_pollution	Rothia	Neis_low	811	0:1	390:421	0.04233	0.000456693733870583	0.412979609789479	0.520644930828123
