phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	fung.alpha.st	Neis_high	346	0:1	182:164	0.07248	0.00103346833236742	0.373355529077265	0.541594006243377
Occupational_pollution	fung.alpha.st	Neis_low	356	0:1	179:177	-0.13968	0.00444760715415897	1.60029551228057	0.206712656151976
Occupational_pollution	fung.pco1	Neis_high	346	0:1	182:164	0.03851	0.00531428902458932	1.86999869412167	0.172389247034849
Occupational_pollution	fung.pco1	Neis_low	356	0:1	179:177	-0.04536	0.00683847126668335	2.45096962166968	0.118366393780783
Occupational_pollution	unclassified_Ascomycota	Neis_high	346	0:1	182:164	0.02011	7.26668794170382e-05	0.0264261328613227	0.870961684428719
Occupational_pollution	unclassified_Ascomycota	Neis_low	356	0:1	179:177	-0.05966	0.000870835499347605	0.320629222545054	0.57159682586409
Occupational_pollution	Dothideomycetes	Neis_high	346	0:1	182:164	-0.22724	0.00606604896090353	2.11122134395931	0.147155841872121
Occupational_pollution	Dothideomycetes	Neis_low	356	0:1	179:177	0.13235	0.0112756986837592	4.06062799933499	0.0446671841514157
Occupational_pollution	Neodeightonia	Neis_high	346	0:1	182:164	-0.02215	6.15296406598839e-05	0.021159151124303	0.884433452658224
Occupational_pollution	Neodeightonia	Neis_low	356	0:1	179:177	0.03814	0.000968880843129578	0.349716100462235	0.554660028814676
Occupational_pollution	Phyllostictaceae	Neis_high	346	0:1	182:164	-0.0229	0.000146862816852382	0.0510931438358453	0.821309359077731
Occupational_pollution	Phyllostictaceae	Neis_low	356	0:1	179:177	0.21274	0.00766734105124136	2.79059344862268	0.095723383995134
Occupational_pollution	Capnodiales	Neis_high	346	0:1	182:164	0.19703	0.00827466783034605	2.97817138551668	0.0853139309869499
Occupational_pollution	Capnodiales	Neis_low	356	0:1	179:177	0.07608	0.00117815965567184	0.420100759861568	0.51731665461844
Occupational_pollution	Cladosporium	Neis_high	346	0:1	182:164	-0.00336	2.01713004888138e-06	0.000809324599723293	0.977321227483718
Occupational_pollution	Cladosporium	Neis_low	356	0:1	179:177	-0.08205	0.00182750645151253	0.732337619973383	0.392718749257401
Occupational_pollution	Toxicocladosporium	Neis_high	346	0:1	182:164	-0.00718	6.70465040235324e-06	0.00235354337345926	0.961335963293428
Occupational_pollution	Toxicocladosporium	Neis_low	356	0:1	179:177	-0.07643	0.00285473673274915	1.1066333512274	0.293549078199226
Occupational_pollution	Ramichloridium	Neis_high	346	0:1	182:164	-0.21513	0.0109809435946865	3.85389828574549	0.0504550610969731
Occupational_pollution	Ramichloridium	Neis_low	356	0:1	179:177	0.08589	0.00167477897198588	0.598866986702504	0.439539071749538
Occupational_pollution	Uwebraunia	Neis_high	346	0:1	182:164	-0.03528	0.000259559874267269	0.0891172676778465	0.765486912360849
Occupational_pollution	Uwebraunia	Neis_low	356	0:1	179:177	0.1333	0.00517864059491002	1.86217104549827	0.173261246560785
Occupational_pollution	Mycosphaerellaceae	Neis_high	346	0:1	182:164	-0.05399	0.00105830761795375	0.369808270377895	0.543519626775256
Occupational_pollution	Mycosphaerellaceae	Neis_low	356	0:1	179:177	0.0761	0.000895527491114628	0.316506226070361	0.574079199020038
Occupational_pollution	Mycosphaerella	Neis_high	346	0:1	182:164	0.05691	0.000498137994467893	0.177896799682444	0.673456683581887
Occupational_pollution	Mycosphaerella	Neis_low	356	0:1	179:177	0.11783	0.00407750990650957	1.46713236431477	0.226625314261131
Occupational_pollution	Pallidocercospora	Neis_high	346	0:1	182:164	0.07888	0.000871420395761553	0.30734041996111	0.579685613282381
Occupational_pollution	Pallidocercospora	Neis_low	356	0:1	179:177	0.07406	0.00189323012265148	0.676681477518248	0.411298340922676
Occupational_pollution	Passalora	Neis_high	346	0:1	182:164	0.02037	5.54001988689323e-05	0.0197883175805471	0.888214184899806
Occupational_pollution	Passalora	Neis_low	356	0:1	179:177	0.06092	0.00164408950109239	0.592201224400333	0.442094210546766
Occupational_pollution	Phaeophleospora	Neis_high	346	0:1	182:164	0.03205	0.000104744740133576	0.0364537847999106	0.848696734345327
Occupational_pollution	Phaeophleospora	Neis_low	356	0:1	179:177	-0.0595	0.00649156904835681	2.42831320187404	0.120075235125449
Occupational_pollution	Pseudocercospora	Neis_high	346	0:1	182:164	0.1514	0.00347550779386339	1.2015084712593	0.273805410183368
Occupational_pollution	Pseudocercospora	Neis_low	356	0:1	179:177	0.05208	0.000819607542449904	0.295579145965512	0.587017386227293
Occupational_pollution	Septoria	Neis_high	346	0:1	182:164	-0.02431	8.99195514654089e-05	0.0330954794974539	0.855753930981698
Occupational_pollution	Septoria	Neis_low	356	0:1	179:177	-0.14638	0.00688980940694889	2.71119478038667	0.100554264783018
Occupational_pollution	Zasmidium	Neis_high	346	0:1	182:164	-0.03155	0.000180013866294964	0.0614211430836076	0.804415087515188
Occupational_pollution	Zasmidium	Neis_low	356	0:1	179:177	-0.12981	0.00403217028065454	1.44154859910466	0.230710237836786
Occupational_pollution	Neodevriesia	Neis_high	346	0:1	182:164	-0.07359	0.00115179083115567	0.394163424979514	0.53054546282227
Occupational_pollution	Neodevriesia	Neis_low	356	0:1	179:177	-0.19258	0.00817161325642332	2.93485248459273	0.0875823586761424
Occupational_pollution	Catenulostroma	Neis_high	346	0:1	182:164	0.21195	0.00481954748718033	1.68495668178702	0.195157450832446
Occupational_pollution	Catenulostroma	Neis_low	356	0:1	179:177	0.04417	0.00177674737140004	0.627765202946703	0.428719132237858
