phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	ko.alpha.st	Neis_high	557	0:1	280:277	-0.00761	1.27045962200201e-05	0.00772346532455636	0.93000163451906
Occupational_pollution	ko.alpha.st	Neis_low	555	0:1	260:295	-0.06122	0.000790434156810335	0.458127357321915	0.498787630970914
Occupational_pollution	KO.pco1	Neis_high	557	0:1	280:277	0.00191	1.70511724092021e-05	0.0103583077899891	0.918971952894855
Occupational_pollution	KO.pco1	Neis_low	555	0:1	260:295	0.00713	0.000253570467030929	0.145841673107885	0.70269016243014
Occupational_pollution	MetagMod.pco1.st	Neis_high	557	0:1	280:277	-0.03416	0.000232786766949516	0.14177485467797	0.706668910823177
Occupational_pollution	MetagMod.pco1.st	Neis_low	555	0:1	260:295	-0.01963	9.01125612378581e-05	0.0509467423723913	0.821508601478489
Occupational_pollution	M00124	Neis_high	557	0:1	280:277	16.91192	2.14771992852053e-05	0.0128195296456766	0.909895015744752
Occupational_pollution	M00124	Neis_low	555	0:1	260:295	16.29975	1.91501174875708e-05	0.0115115741398739	0.914596811772254
Occupational_pollution	M00485	Neis_high	557	0:1	280:277	24.34912	0.00010101602330987	0.0579783549415637	0.809810466290485
Occupational_pollution	M00485	Neis_low	555	0:1	260:295	-45.02477	0.000438123212820656	0.244653606483302	0.62106437829384
Occupational_pollution	M00032	Neis_high	557	0:1	280:277	-14.68858	2.55507377976069e-05	0.0145816282747161	0.903929900956897
Occupational_pollution	M00032	Neis_low	555	0:1	260:295	-235.18268	0.00642968105508516	3.67010134644881	0.0559197254867747
Occupational_pollution	M00436	Neis_high	557	0:1	280:277	214.96141	0.0019394964183886	1.09276152443627	0.296321875689658
Occupational_pollution	M00436	Neis_low	555	0:1	260:295	-285.6433	0.0044129222286832	2.48841705032574	0.115267253228486
Occupational_pollution	M00450	Neis_high	557	0:1	280:277	19.35154	0.000133935520167411	0.0753940166494176	0.783742826854503
