phenotype	taxon	group	Nsamples	levels	levels_SampleSize	effect.size	R2	F.stat	Pvalue
Occupational_pollution	metagTaxa.alpha.st	Neis_high	557	0:1	280:277	0.12262	0.00345961952863203	2.01614831193282	0.156203149022849
Occupational_pollution	metagTaxa.alpha.st	Neis_low	555	0:1	260:295	-0.05096	0.000611609203867235	0.350620096193167	0.554007881995731
Occupational_pollution	metagTaxa.pco1	Neis_high	557	0:1	280:277	0.01293	0.00088637604248909	0.505307122120106	0.477480436707423
Occupational_pollution	metagTaxa.pco1	Neis_low	555	0:1	260:295	-0.02604	0.00900389183357805	5.29975592111197	0.0217044777213158
Occupational_pollution	Neisseria_flavescens	Neis_high	557	0:1	280:277	0.05973	0.000819359802333948	0.467951942365286	0.494220578766324
Occupational_pollution	Neisseria_flavescens	Neis_low	555	0:1	260:295	-0.06138	0.00251986844550052	1.44148477398957	0.230420794082868
Occupational_pollution	Streptococcus_mitis	Neis_high	557	0:1	280:277	0.04956	0.000499516730608142	0.282241463339718	0.595451486205574
Occupational_pollution	Streptococcus_mitis	Neis_low	555	0:1	260:295	0.08919	0.00179916395856923	1.01930053749101	0.313133000437834
Occupational_pollution	Rothia_mucilaginosa	Neis_high	557	0:1	280:277	0.0475	0.00043044975565925	0.250198140290731	0.617136764202249
Occupational_pollution	Rothia_mucilaginosa	Neis_low	555	0:1	260:295	-0.06009	0.00106072501116947	0.609838824042111	0.435187568080034
Occupational_pollution	Streptococcus_salivarius	Neis_high	557	0:1	280:277	0.05374	0.000677492405549374	0.39398710014423	0.530472961688323
Occupational_pollution	Streptococcus_salivarius	Neis_low	555	0:1	260:295	0.12641	0.00329734568465105	1.90741259429466	0.167816968773577
Occupational_pollution	Streptococcus_parasanguinis	Neis_high	557	0:1	280:277	0.12767	0.00427852770636479	2.38694456008791	0.122930877742147
Occupational_pollution	Streptococcus_parasanguinis	Neis_low	555	0:1	260:295	0.1541	0.00503193402463274	2.88386509490435	0.0900418227574335
Occupational_pollution	Streptococcus_sanguinis	Neis_high	557	0:1	280:277	-0.2896	0.0155980030843147	9.03606200816228	0.0027685331591068
Occupational_pollution	Streptococcus_sanguinis	Neis_low	555	0:1	260:295	0.20177	0.0103253656036223	5.81931483725386	0.0161804024790515
Occupational_pollution	Porphyromonas_endodontalis	Neis_high	557	0:1	280:277	-0.01884	0.000117219224304771	0.067709627083831	0.794799141600405
Occupational_pollution	Porphyromonas_endodontalis	Neis_low	555	0:1	260:295	-0.03992	0.000287863461454978	0.160323756034671	0.689015521328227
Occupational_pollution	Porphyromonas_somerae	Neis_high	557	0:1	280:277	0.08189	0.00131532285866201	0.74267533864272	0.389182842744753
Occupational_pollution	Porphyromonas_somerae	Neis_low	555	0:1	260:295	0.04078	0.00046467046952757	0.269397025281367	0.60394723422817
Occupational_pollution	Porphyromonas_gingivalis	Neis_high	557	0:1	280:277	0.02282	0.000141235064279262	0.0786980823600139	0.779175610133051
Occupational_pollution	Porphyromonas_gingivalis	Neis_low	555	0:1	260:295	-0.03654	0.000270153255726893	0.159180419548971	0.690068486802993
Occupational_pollution	Prevotella_melaninogenica	Neis_high	557	0:1	280:277	0.06033	0.00101303880650385	0.57151152739771	0.449984332545884
Occupational_pollution	Prevotella_melaninogenica	Neis_low	555	0:1	260:295	-0.24119	0.0108165397665353	6.16814123233329	0.013306644211737
Occupational_pollution	Prevotella_intermedia	Neis_high	557	0:1	280:277	0.06984	0.00135122773889972	0.774792118009172	0.379125195066879
Occupational_pollution	Prevotella_intermedia	Neis_low	555	0:1	260:295	0.00837	1.27742693820584e-05	0.00717263190319417	0.932537840065253
Occupational_pollution	Actinomyces_graevenitzii	Neis_high	557	0:1	280:277	0.10275	0.00283234872175555	1.63905187357401	0.200998243287687
Occupational_pollution	Actinomyces_graevenitzii	Neis_low	555	0:1	260:295	-0.12756	0.00312006587783477	1.88657021784595	0.170154004491261
Occupational_pollution	Streptococcus_oralis	Neis_high	557	0:1	280:277	0.03084	0.000205470684593062	0.115708248690452	0.733867262151511
Occupational_pollution	Streptococcus_oralis	Neis_low	555	0:1	260:295	0.1048	0.00239005478452411	1.3662726577083	0.242964326157773
Occupational_pollution	Gemella_haemolysans	Neis_high	557	0:1	280:277	0.06893	0.0010400298309443	0.598372628380637	0.43953378000707
Occupational_pollution	Gemella_haemolysans	Neis_low	555	0:1	260:295	0.03618	0.000275180671184767	0.159991197228781	0.689321343739818
Occupational_pollution	Streptococcus_anginosus_group	Neis_high	557	0:1	280:277	-0.03386	0.000286705880742776	0.160314650539902	0.689023316353137
Occupational_pollution	Streptococcus_anginosus_group	Neis_low	555	0:1	260:295	0.07739	0.00118850676170067	0.680131032705863	0.40990240376382
Occupational_pollution	Prevotella_pallens	Neis_high	557	0:1	280:277	-0.03469	0.000410234296798269	0.230389058687331	0.631427371660111
Occupational_pollution	Prevotella_pallens	Neis_low	555	0:1	260:295	-0.13213	0.00302993486925584	1.70186226146555	0.19259522544297
Occupational_pollution	Eubacterium_nodatum	Neis_high	557	0:1	280:277	-0.01115	3.65467557545823e-05	0.0210203495514168	0.884776938571368
Occupational_pollution	Eubacterium_nodatum	Neis_low	555	0:1	260:295	0.03502	0.000225106797331086	0.126809936727142	0.72190061483273
Occupational_pollution	Mogibacterium_diversum	Neis_high	557	0:1	280:277	0.0489	0.000846175652396787	0.491663548654746	0.483484353882082
Occupational_pollution	Mogibacterium_diversum	Neis_low	555	0:1	260:295	-0.08459	0.00129472848283478	0.759707146519019	0.383803980599297
Occupational_pollution	Eubacterium_brachy	Neis_high	557	0:1	280:277	0.11184	0.004256512253361	2.49521701163985	0.114770695275074
Occupational_pollution	Eubacterium_brachy	Neis_low	555	0:1	260:295	0.06832	0.000807563459087182	0.456659892876016	0.499475762251804
Occupational_pollution	Peptostreptococcus_stomatis	Neis_high	557	0:1	280:277	0.10089	0.00369741482703757	2.20438249085235	0.13819501602738
Occupational_pollution	Peptostreptococcus_stomatis	Neis_low	555	0:1	260:295	0.04457	0.000342058896040352	0.197853779230087	0.656635414312542
Occupational_pollution	Streptococcus_infantis	Neis_high	557	0:1	280:277	0.09609	0.00174855926183891	0.999616216017151	0.317845462743465
