#NAME	Occupation	Group	Group2	Group3
S1134	N	Neis_low	PCo1Neg	Neis_low_N
S1124	Y	Neis_low	PCo1Pos	Neis_low_Y
S1283	Y	Neis_low	PCo1Neg	Neis_low_Y
S1250	N	Neis_low	PCo1Pos	Neis_low_N
S1332	N	Neis_low	PCo1Neg	Neis_low_N
S1356	N	Neis_low	PCo1Neg	Neis_low_N
S1360	Y	Neis_low	PCo1Neg	Neis_low_Y
S1107	Y	Neis_low	PCo1Neg	Neis_low_Y
S1281	Y	Neis_low	PCo1Neg	Neis_low_Y
S1331	Y	Neis_low	PCo1Neg	Neis_low_Y
S1016	N	Neis_low	PCo1Neg	Neis_low_N
S1089	Y	Neis_low	PCo1Neg	Neis_low_Y
S1005	Y	Neis_low	PCo1Neg	Neis_low_Y
S1152	Y	Neis_low	PCo1Neg	Neis_low_Y
S1122	Y	Neis_low	PCo1Neg	Neis_low_Y
S1007	N	Neis_low	PCo1Neg	Neis_low_N
S1131	N	Neis_low	PCo1Neg	Neis_low_N
S110	Y	Neis_low	PCo1Neg	Neis_low_Y
S119	N	Neis_low	PCo1Neg	Neis_low_N
S1292	N	Neis_low	PCo1Neg	Neis_low_N
S316	N	Neis_low	PCo1Neg	Neis_low_N
S1251	Y	Neis_low	PCo1Neg	Neis_low_Y
S1214	N	Neis_low	PCo1Neg	Neis_low_N
S131	N	Neis_low	PCo1Neg	Neis_low_N
S1052	Y	Neis_low	PCo1Neg	Neis_low_Y
S1278	Y	Neis_low	PCo1Neg	Neis_low_Y
S1115	N	Neis_low	PCo1Neg	Neis_low_N
S1181	Y	Neis_low	PCo1Neg	Neis_low_Y
S1034	Y	Neis_low	PCo1Neg	Neis_low_Y
S137	N	Neis_low	PCo1Neg	Neis_low_N
S1449	Y	Neis_low	PCo1Neg	Neis_low_Y
S1381	N	Neis_low	PCo1Neg	Neis_low_N
S1422	Y	Neis_low	PCo1Neg	Neis_low_Y
S491	Y	Neis_low	PCo1Pos	Neis_low_Y
S1151	Y	Neis_low	PCo1Neg	Neis_low_Y
S128	Y	Neis_low	PCo1Neg	Neis_low_Y
S1285	Y	Neis_low	PCo1Neg	Neis_low_Y
S1295	N	Neis_low	PCo1Neg	Neis_low_N
S1127	N	Neis_low	PCo1Neg	Neis_low_N
S1043	N	Neis_low	PCo1Neg	Neis_low_N
S111	Y	Neis_low	PCo1Neg	Neis_low_Y
S1225	N	Neis_low	PCo1Neg	Neis_low_N
S1304	N	Neis_low	PCo1Neg	Neis_low_N
S122	Y	Neis_low	PCo1Neg	Neis_low_Y
S1217	Y	Neis_low	PCo1Neg	Neis_low_Y
S1378	N	Neis_low	PCo1Neg	Neis_low_N
S1310	N	Neis_low	PCo1Pos	Neis_low_N
S458	Y	Neis_low	PCo1Pos	Neis_low_Y
S1039	Y	Neis_low	PCo1Neg	Neis_low_Y
S1280	Y	Neis_low	PCo1Pos	Neis_low_Y
S1088	N	Neis_low	PCo1Neg	Neis_low_N
S135	Y	Neis_low	PCo1Pos	Neis_low_Y
S132	Y	Neis_low	PCo1Neg	Neis_low_Y
S1445	Y	Neis_low	PCo1Pos	Neis_low_Y
S123	Y	Neis_low	PCo1Neg	Neis_low_Y
S1320	N	Neis_low	PCo1Neg	Neis_low_N
S1106	N	Neis_low	PCo1Pos	Neis_low_N
S143	Y	Neis_low	PCo1Pos	Neis_low_Y
S406	N	Neis_low	PCo1Neg	Neis_low_N
S1273	Y	Neis_low	PCo1Pos	Neis_low_Y
S104	Y	Neis_low	PCo1Neg	Neis_low_Y
S1414	N	Neis_low	PCo1Neg	Neis_low_N
S1264	Y	Neis_low	PCo1Pos	Neis_low_Y
S1123	N	Neis_low	PCo1Pos	Neis_low_N
S1315	N	Neis_low	PCo1Neg	Neis_low_N
S103	Y	Neis_low	PCo1Neg	Neis_low_Y
S401	Y	Neis_low	PCo1Pos	Neis_low_Y
S133	Y	Neis_low	PCo1Pos	Neis_low_Y
S112	N	Neis_low	PCo1Neg	Neis_low_N
S1387	Y	Neis_low	PCo1Neg	Neis_low_Y
S1330	Y	Neis_low	PCo1Neg	Neis_low_Y
S1416	Y	Neis_low	PCo1Neg	Neis_low_Y
S1240	Y	Neis_low	PCo1Neg	Neis_low_Y
S113	Y	Neis_low	PCo1Pos	Neis_low_Y
S1057	N	Neis_low	PCo1Neg	Neis_low_N
S120	Y	Neis_low	PCo1Neg	Neis_low_Y
S1402	Y	Neis_low	PCo1Neg	Neis_low_Y
S117	Y	Neis_low	PCo1Neg	Neis_low_Y
S1294	N	Neis_low	PCo1Neg	Neis_low_N
S129	N	Neis_low	PCo1Neg	Neis_low_N
S1083	Y	Neis_low	PCo1Neg	Neis_low_Y
S1053	N	Neis_low	PCo1Pos	Neis_low_N
S1221	N	Neis_high	PCo1Pos	Neis_high_N
S1413	N	Neis_high	PCo1Pos	Neis_high_N
S1	N	Neis_high	PCo1Neg	Neis_high_N
S1435	Y	Neis_high	PCo1Pos	Neis_high_Y
S1085	Y	Neis_high	PCo1Pos	Neis_high_Y
S1384	N	Neis_high	PCo1Pos	Neis_high_N
S1436	Y	Neis_high	PCo1Neg	Neis_high_Y
S1344	Y	Neis_high	PCo1Pos	Neis_high_Y
S1453	Y	Neis_high	PCo1Pos	Neis_high_Y
S1380	Y	Neis_high	PCo1Neg	Neis_high_Y
S1248	Y	Neis_high	PCo1Pos	Neis_high_Y
S1404	Y	Neis_high	PCo1Pos	Neis_high_Y
S105	Y	Neis_high	PCo1Neg	Neis_high_Y
S138	N	Neis_high	PCo1Pos	Neis_high_N
S1232	N	Neis_high	PCo1Pos	Neis_high_N
S124	Y	Neis_high	PCo1Neg	Neis_high_Y
S1096	N	Neis_high	PCo1Pos	Neis_high_N
S1275	N	Neis_high	PCo1Pos	Neis_high_N
S1185	N	Neis_high	PCo1Neg	Neis_high_N
S1423	Y	Neis_high	PCo1Pos	Neis_high_Y
S1395	N	Neis_high	PCo1Pos	Neis_high_N
S1450	Y	Neis_high	PCo1Pos	Neis_high_Y
S101	N	Neis_high	PCo1Neg	Neis_high_N
S1001	Y	Neis_high	PCo1Neg	Neis_high_Y
S1074	Y	Neis_high	PCo1Pos	Neis_high_Y
S126	N	Neis_high	PCo1Pos	Neis_high_N
S14	Y	Neis_high	PCo1Pos	Neis_high_Y
S1329	Y	Neis_high	PCo1Pos	Neis_high_Y
S1417	N	Neis_high	PCo1Neg	Neis_high_N
S1336	N	Neis_high	PCo1Neg	Neis_high_N
S1209	N	Neis_high	PCo1Pos	Neis_high_N
S1335	Y	Neis_high	PCo1Pos	Neis_high_Y
S1415	N	Neis_high	PCo1Pos	Neis_high_N
S134	N	Neis_high	PCo1Pos	Neis_high_N
S1446	N	Neis_high	PCo1Pos	Neis_high_N
S1013	N	Neis_high	PCo1Pos	Neis_high_N
S625	Y	Neis_high	PCo1Pos	Neis_high_Y
S1370	Y	Neis_high	PCo1Pos	Neis_high_Y
S1120	Y	Neis_high	PCo1Pos	Neis_high_Y
S1428	Y	Neis_high	PCo1Pos	Neis_high_Y
S1139	Y	Neis_high	PCo1Pos	Neis_high_Y
S1222	Y	Neis_high	PCo1Pos	Neis_high_Y
S1006	Y	Neis_high	PCo1Neg	Neis_high_Y
S1317	Y	Neis_high	PCo1Pos	Neis_high_Y
S410	Y	Neis_high	PCo1Pos	Neis_high_Y
S115	Y	Neis_high	PCo1Pos	Neis_high_Y
S1421	N	Neis_high	PCo1Pos	Neis_high_N
S1233	N	Neis_high	PCo1Pos	Neis_high_N
S1180	Y	Neis_high	PCo1Pos	Neis_high_Y
S1210	Y	Neis_high	PCo1Pos	Neis_high_Y
S144	Y	Neis_high	PCo1Pos	Neis_high_Y
S1430	Y	Neis_high	PCo1Pos	Neis_high_Y
S1399	Y	Neis_high	PCo1Pos	Neis_high_Y
S56	Y	Neis_high	PCo1Pos	Neis_high_Y
S1183	N	Neis_high	PCo1Pos	Neis_high_N
S1092	N	Neis_high	PCo1Pos	Neis_high_N
S1424	N	Neis_high	PCo1Pos	Neis_high_N
S1334	N	Neis_high	PCo1Pos	Neis_high_N
S1026	N	Neis_high	PCo1Pos	Neis_high_N
S1383	N	Neis_high	PCo1Pos	Neis_high_N
S1425	N	Neis_high	PCo1Pos	Neis_high_N
S1255	Y	Neis_high	PCo1Pos	Neis_high_Y
S1340	N	Neis_high	PCo1Pos	Neis_high_N
S1410	N	Neis_high	PCo1Pos	Neis_high_N
S1015	Y	Neis_high	PCo1Pos	Neis_high_Y
S139	N	Neis_high	PCo1Pos	Neis_high_N
S630	Y	Neis_high	PCo1Pos	Neis_high_Y
S1419	N	Neis_high	PCo1Pos	Neis_high_N
