VFID	VF.name
VF1308	Aa-CDT
VF1121	AAI/SCI-II T6SS
VF1133	AatA, AIDA-I type
VF0739	ABC-type heme transporter
VF0741	ABC transporter
VF1070	AbpB SGO_0162
VF0808	Accessory secretion factor
VF1122	ACE T6SS
VF0922	Achromobactin biosynthesis and transport
VF0467	Acinetobactin
VF0419	Acm
VF0568	AcrAB
VF0907	Acylhomoserine lactone synthase
VF0893	Adhesion and penetration protein
VF1146	Adhesive factor/rabbit 1 (AF/R1) pili
VF0213	Adhesive fimbriae
VF0229	Aerobactin
VF0103	Agf
VF0688	Alcaligin
VF0091	Alginate
VF0090	Alkaline protease
VF0572	Allantion utilization
VF0276	alpha-C protein
VF0225	alpha-hemolysin
VF1063	Alpha-like protein
VF0649	Amonabactin
VF0311	Antigen 85
VF1043	Antigen I/II (AgI/II) family of oral streptococcal adhesins
VF0352	AS
VF1333	Ata
VF0024	Aureolysin
VF0143	Autolysin
VF0997	Autolysin alt
VF0586	Bacillibactin
VF0462	Bap
VF0950	Bcf
VF0746	Bee (biofilm enhancer in enterococci)
VF0277	beta-C protein
VF0279	beta-haemolysin/cytolysin
VF0002	beta-hemolysin
VF0463	BfmRS
VF1072	BibA SAG2063
VF0362	BopD
VF0034	Brk
VF1237	BspA
VF0336	BvgAS
VF0368	BvrR-BvrS
VF1054	C3-degrading protease
VF1157	C3610
VF0280	CAMP factor
VF0624	Capsular polysaccharide
VF0465	Capsule
VF0436	Capsule I
VF0541	CARDS toxin
VF0150	CbpA/PspC
VF0145	CBPs
VF1049	Cell surface hydrophobicity proteins
VF0995	Cell wall associated fibronectin binding protein ebh
VF0609	ChiRP
VF0072	ClpC
VF0004	Clumping factor
VF0730	Cna
VF0005	CNA
VF1074	Cnm BAH16663
VF0573	Colibactin
VF1181	Colicin B
VF1186	Colicin K
VF1039	Collagen binding protein
VF1209	Colonization factor Citrobacter (CFC) type IV fimbriae
VF1131	Contact-dependent inhibition CDI system
VF1336	CpaA
VF0461	Csu fimbriae
VF0924	CupA fimbriae
VF0925	CupB fimbriae
VF0926	CupC fimbriae
VF0934	CupE fimbriae
VF1138	Curli fibers
VF0028	Cya
VF0843	Cyp125
VF0330	Cytadherence organelle
VF1244	Desferrioxamine
VF0317	DevRS
VF0742	Diphtheria toxin repressor DtxR
VF0681	Direct heme uptake system
VF0156	Dot/Icm
VF0798	Dot/Icm T4SS secreted effectors
VF1140	E.coli laminin-binding fimbriae (ELF)
VF0016	Eap/Map
VF0538	Ebp pili
VF0008	EbpS
VF0460	EF-Tu
VF0354	EfaA
VF1128	EhaB, AIDA-I type
VF1176	EHS
VF0998	Emp
VF0562	Ent
VF0228	Enterobactin
VF0639	Enterobactin receptor VctA
VF1136	Enterotoxin SenB/TieB
VF1017	Epidermal cell differentiation inhibitor (EDIN-C, C3stau3)
VF0613	Eps T2SS
VF0353	Esp
VF0173	EspC
VF0942	EstA
VF0315	ESX-1
VF0521	ESX-3
VF0836	ESX-4 (T7SS)
VF0402	ESX-5
VF1178	Etp
VF1161	ETT2
VF0478	Exe T2SS
VF0009	Exfoliative toxin
VF0582	Exolysin
VF0755	Exopolysaccharide
VF0224	F1C fimbriae
VF1153	F9 fimbriae
VF0844	FadE28
VF0845	FadE29
VF1191	Fap
VF1076	Fap1 ABL73998
VF0809	FAS-II
VF0272	FbpABC
VF0243	FBPs
VF0523	FbsB
VF0896	Ferric enterobactin transport protein A / ferric-repressed protein B
VF0025	FHA
VF0452	FHbp
VF0750	Fibrinogen binding protein
VF0031	Fimbriae
