ARG1	16S rRNA methylase
ARG2	aac(2')-I
ARG3	aac(3)-I
ARG4	aac(3)-II
ARG5	aac(3)-IV
ARG6	aac(6')-31
ARG7	aac(6')-I
ARG8	aac(6')-II
ARG9	aad(6)
ARG10	aad(9)
ARG11	aadA
ARG12	aadB
ARG13	aadD
ARG14	aadE
ARG15	aadK
ARG16	abeS
ARG17	acrA
ARG18	acrB
ARG19	acrF
ARG20	ACT-13
ARG21	ACT-16
ARG22	ACT-20
ARG23	adeA
ARG24	adeB
ARG25	adeC
ARG26	adeJ
ARG27	adeK
ARG28	ADP-ribosylating transferase_arr
ARG29	ampC
ARG30	amrB
ARG31	ant(2'')-I
ARG32	ant(3'')-Ih-aac(6')-IId
ARG33	ant(9)-I
ARG34	antibiotic resistance rRNA adenine methyltransferase
ARG35	aph(2'')-II
ARG36	aph(3''')-III
ARG37	aph(3'')-I
ARG38	aph(3')-I
ARG39	aph(3')-IIb
ARG40	aph(4)-I
ARG41	aph(6)-I
ARG42	arnA
ARG43	bacA
ARG44	bacterial regulatory protein LuxR
ARG45	bcrA
ARG46	bcrC
ARG47	bicyclomycin-multidrug_efflux_protein_bcr
ARG48	bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase
ARG49	blaZ
ARG50	bleO
ARG51	bleomycin resistance protein
ARG52	bpeF
ARG53	cAMP-regulatory protein
ARG54	carA
ARG55	CARB-12
ARG56	CARB-5
ARG57	CARB-6
ARG58	cat_chloramphenicol acetyltransferase
ARG59	catA
ARG60	catB
ARG61	catD
ARG62	catP
ARG63	catQ
ARG64	catS
ARG65	CAZ-2
ARG66	CAZ-6
ARG67	ceoA
ARG68	ceoB
ARG69	cephalosporinase DHA-2
ARG70	CFE-1
ARG71	CfxA2
ARG72	CfxA3
ARG73	CGB-1
ARG74	chloramphenicol and florfenicol exporter
ARG75	chloramphenicol exporter
ARG76	class A beta-lactamase
ARG77	class B beta-lactamase
ARG78	class C beta-lactamase
ARG79	cmeB
ARG80	cmlA
ARG81	CMY-26
ARG82	CMY-39
ARG83	CMY-41
ARG84	CMY-64
ARG85	CMY-78
ARG86	CMY-80
ARG87	cob(I)alamin adenolsyltransferase
ARG88	CTX-M
ARG89	CTX-M-147
ARG90	CTX-M-15
ARG91	CTX-M-53
ARG92	CTX-M-55
ARG93	CTX-M-60
ARG94	CTX-M-79
ARG95	dfrA1
ARG96	dfrA12
ARG97	dfrA14
ARG98	dfrA16
ARG99	dfrA17
ARG100	dfrA20
ARG101	dfrA21
ARG102	dfrA22
ARG103	dfrA25
ARG104	dfrA5
ARG105	dfrB6
ARG106	DHA-12
ARG107	DHA-5
ARG108	DHA-6
ARG109	DHA-7
ARG110	DNA-binding transcriptional regulator gadX
ARG111	DNA-binding_protein_H-NS
ARG112	emrA
ARG113	emrB
ARG114	EmrB-QacA family major facilitator transporter
ARG115	emrD
ARG116	emrE
ARG117	emrK
ARG118	ereA
ARG119	erm(33)
ARG120	erm(35)
ARG121	erm(36)
ARG122	erm(39)
ARG123	erm(TR)
ARG124	ermA
ARG125	ermB
ARG126	ermC
ARG127	ermF
ARG128	ermG
ARG129	ermT
ARG130	ermX
ARG131	FEZ-1
ARG132	floR
ARG133	fmtC
ARG134	fosA
ARG135	fosB
ARG136	fosX
ARG137	FOX-5
ARG138	GOB-1
ARG139	IMP-9
ARG140	kasugamycin resistance protein ksgA
ARG141	KPC-1
ARG142	KPC-10
ARG143	KPC-11
ARG144	KPC-13
ARG145	KPC-15
ARG146	KPC-16
ARG147	KPC-5
ARG148	lmrB
ARG149	lmrP
ARG150	lnuA
ARG151	lnuB
ARG152	LRA-1
ARG153	lsa
ARG154	macA
ARG155	macB
ARG156	major_facilitator_superfamily_transporter
ARG157	marR
ARG158	mdfA
ARG159	mdtA
ARG160	mdtB
ARG161	mdtC
ARG162	mdtD
ARG163	mdtE
ARG164	mdtF
ARG165	mdtG
ARG166	mdtH
ARG167	mdtK
ARG168	mdtL
ARG169	mdtM
ARG170	mdtN
ARG171	mdtO
ARG172	mdtP
ARG173	mecA
ARG174	mecI
ARG175	mecR1
ARG176	mefA
ARG177	mepA
ARG178	metallo-beta-lactamase
ARG179	mexA
ARG180	mexB
ARG181	mexC
ARG182	mexD
ARG183	mexE
ARG184	mexF
ARG185	mexH
ARG186	mexI
ARG187	mexT
ARG188	mexW
ARG189	mexX
ARG190	mexY
