phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue
A_FEV1_FVC_Post	ARG.pco1	1108	-0.00341	0.015626254	18.78855728	1.59E-05
FEV1pred_post	ARG.pco1	1108	-0.00121	0.009470785	11.31115466	0.000797015
year2pm25	ARG.abund.st	1112	0.09993	0.003973541	4.440777034	0.035315742
SHS_binary	ARG.alpha.st	1112	0.13289	0.003629425	4.434949669	0.035435993
SHS_binary	ARG.pco1	1112	-0.02391	0.003148883	3.74896546	0.053095657
A_FEV1_FVC_Post	ARG.alpha.st	1108	0.0074	0.002738716	3.335966075	0.068052005
FEV1pred_post	ARG.alpha.st	1108	0.00334	0.00268584	3.271367042	0.070772307
year2pm10	ARG.abund.st	1112	0.0374	0.002031409	2.265813457	0.132543306
Biofuel_exposure	ARG.alpha.st	1111	0.10384	0.001859	2.263491709	0.132741912
Smoking_binary	ARG.pco1	1112	0.02401	0.001714763	2.038387105	0.153655505
Smoking_binary	ARG.alpha.st	1112	-0.12039	0.001608841	1.961516853	0.161632685
CAT_score	ARG.abund.st	1112	0.00914	0.00174512	1.945925996	0.163307624
FEV1pred_post	ARG.abund.st	1108	-0.00266	0.001692302	1.880011023	0.17061306
CAT_score	ARG.alpha.st	1112	0.00823	0.001429493	1.742507734	0.18709552
year2pm25	ARG.pco1	1112	-0.01159	0.001447435	1.720110572	0.189951989
year2pm10	ARG.pco1	1112	-0.00536	0.001131747	1.344494002	0.246494164
CAT_score	ARG.pco1	1112	-0.00111	0.000691787	0.821439685	0.364957695
year2pm10	ARG.alpha.st	1112	0.01981	0.000575954	0.701408165	0.402492527
Biofuel_exposure	ARG.pco1	1111	-0.01084	0.000542231	0.643286163	0.422696405
A_FEV1_FVC_Post	ARG.abund.st	1108	-0.00329	0.000534789	0.593412214	0.441268371
Occupational_pollution	ARG.pco1	1112	0.00761	0.000338626	0.40193779	0.526221764
SHS_binary	ARG.abund.st	1112	0.03589	0.000261907	0.291606575	0.589301939
Biofuel_exposure	ARG.abund.st	1111	-0.03203	0.000174861	0.194493329	0.659289461
year2pm25	ARG.alpha.st	1112	0.01584	0.000100844	0.122745882	0.726142186
Smoking_binary	ARG.abund.st	1112	-0.00302	1.00E-06	0.001117395	0.973339765
Occupational_pollution	ARG.alpha.st	1112	0.00182	7.21E-07	0.000877923	0.976367685
Occupational_pollution	ARG.abund.st	1112	6.00E-04	7.82E-08	8.71E-05	0.992556768
