phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Smoking_binary	ARG167	1112	-0.48015	0.02558186	32.10743419	1.86E-08	9.42E-06
Smoking_binary	ARG200	1112	-0.48008	0.02566312	31.93345092	2.03E-08	1.03E-05
Smoking_binary	ARG154	1112	-0.41558	0.019137897	23.98939641	1.11E-06	0.00056118
A_FEV1_FVC_Post	ARG167	1108	0.01655	0.013725213	16.9220135	4.19E-05	0.021179239
A_FEV1_FVC_Post	ARG200	1108	0.01435	0.010335874	12.58526358	0.000405215	0.202202199
Smoking_binary	ARG302	1112	-0.30332	0.010291342	12.55722967	0.000411208	0.206015059
A_FEV1_FVC_Post	ARG154	1108	0.0135	0.009116223	11.25226623	0.000822434	0.40957218
Smoking_binary	ARG182	1112	-0.26572	0.007795247	8.839327307	0.003012184	1
Biofuel_exposure	ARG182	1111	0.2121	0.007714896	8.74410479	0.003172317	1
FEV1pred_post	ARG302	1108	0.00539	0.007071488	8.57538209	0.003477728	1
FEV1pred_post	ARG464	1108	0.0054	0.007006797	8.033273692	0.004676734	1
FEV1pred_post	ARG446	1108	0.00512	0.006337321	7.599242109	0.00593603	1
FEV1pred_post	ARG176	1108	0.00512	0.006322634	7.27700844	0.007091286	1
FEV1pred_post	ARG154	1108	0.00487	0.005715013	7.027242878	0.0081434	1
FEV1pred_post	ARG448	1108	0.00497	0.00596049	6.962539712	0.008441176	1
Smoking_binary	ARG446	1112	0.22311	0.005530592	6.652473007	0.010030529	1
A_FEV1_FVC_Post	ARG464	1108	0.01067	0.005672262	6.494184412	0.010958046	1
A_FEV1_FVC_Post	ARG450	1108	0.01074	0.005740072	6.469964421	0.011107473	1
A_FEV1_FVC_Post	ARG302	1108	0.01025	0.005303388	6.418726126	0.011430531	1
A_FEV1_FVC_Post	ARG448	1108	0.01047	0.005481589	6.399867353	0.011551854	1
Occupational_pollution	ARG464	1112	0.15869	0.005474605	6.291985967	0.012271275	1
Biofuel_exposure	ARG297	1111	0.17969	0.005481505	6.262973488	0.012472781	1
A_FEV1_FVC_Post	ARG487	1108	-0.01062	0.005555023	6.232023065	0.012691759	1
A_FEV1_FVC_Post	ARG446	1108	0.01017	0.005174706	6.197251596	0.012942037	1
SHS_binary	ARG176	1112	0.15724	0.005075597	5.855891143	0.015685969	1
Biofuel_exposure	ARG487	1111	-0.16353	0.004946888	5.546937368	0.018687764	1
CAT_score	ARG297	1112	0.01475	0.004525533	5.170333245	0.023167485	1
A_FEV1_FVC_Post	ARG182	1108	0.00954	0.004533933	5.107904172	0.024012343	1
FEV1pred_post	ARG167	1108	0.00416	0.004179134	5.097870369	0.024150971	1
Smoking_binary	ARG448	1112	-0.1978	0.004336747	5.072716871	0.024501447	1
Smoking_binary	ARG450	1112	0.19953	0.004387949	4.958225364	0.02616834	1
Occupational_pollution	ARG176	1112	0.13791	0.004147336	4.780278819	0.028997232	1
FEV1pred_post	ARG200	1108	0.00396	0.003806525	4.601617594	0.032160664	1
Smoking_binary	ARG297	1112	-0.1868	0.003817502	4.358222283	0.037059952	1
A_FEV1_FVC_Post	ARG297	1108	0.00876	0.003778557	4.297848378	0.038393431	1
SHS_binary	ARG297	1112	0.13334	0.00360135	4.110533517	0.042857207	1
FEV1pred_post	ARG487	1108	-0.00392	0.003644642	4.080855574	0.043614158	1
FEV1pred_post	ARG450	1108	0.00381	0.003491214	3.926084005	0.04779164	1
Biofuel_exposure	ARG464	1111	0.14062	0.003391914	3.886968353	0.048912255	1
year2pm25	ARG154	1112	0.08406	0.0028365	3.490829924	0.061974823	1
year2pm25	ARG297	1112	-0.08359	0.002769098	3.157889333	0.0758366	1
CAT_score	ARG464	1112	0.01106	0.002571527	2.946545652	0.086342347	1
year2pm25	ARG167	1112	0.07424	0.002215649	2.708744689	0.100084648	1
year2pm25	ARG200	1112	0.07305	0.002152704	2.609407551	0.106517684	1
SHS_binary	ARG450	1112	0.10353	0.002187332	2.46604195	0.1166176	1
A_FEV1_FVC_Post	ARG176	1108	0.00656	0.002150951	2.464849001	0.116707001	1
Occupational_pollution	ARG450	1112	-0.10023	0.002177335	2.454746924	0.11745714	1
Occupational_pollution	ARG297	1112	-0.09936	0.002124352	2.421003743	0.120005323	1
