phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue
A_FEV1_FVC_Post	bact.alpha.st	1622	0.00289	0.000440309	0.751245101	0.386211302
A_FEV1_FVC_Post	bact.pco1	1622	0.00017	0.000104066	0.181559647	0.670093204
Biofuel_exposure	bact.alpha.st	1625	0.07198	0.00086304	1.475731423	0.224621156
Biofuel_exposure	bact.pco1	1625	0.00023	6.30E-07	0.001101652	0.973526261
CAT_score	bact.alpha.st	1626	-0.02072	0.010218071	17.65703115	2.79E-05
CAT_score	bact.pco1	1626	-4.00E-05	2.79E-06	0.004885857	0.944282775
FEV1pred_post	bact.alpha.st	1622	0.00342	0.003036592	5.195245545	0.022778955
FEV1pred_post	bact.pco1	1622	7.00E-05	7.83E-05	0.136565762	0.711767803
Occupational_pollution	bact.alpha.st	1626	0.09546	0.002013995	3.449957469	0.063435201
Occupational_pollution	bact.pco1	1626	0.01086	0.001798125	3.153485575	0.075953107
SHS_binary	bact.alpha.st	1626	-0.04125	0.000351728	0.601447079	0.438139905
SHS_binary	bact.pco1	1626	-0.00098	1.37E-05	0.024026119	0.876837828
Smoking_binary	bact.pco1	1626	-0.06945	0.040338939	73.8331163	1.97E-17
Smoking_binary	bact.alpha.st	1626	0.05704	0.000394715	0.674985893	0.41143987
year2pm10	bact.pco1	1626	0.00413	0.001753092	3.07435775	0.079725584
year2pm10	bact.alpha.st	1626	-0.01744	0.000454422	0.777136008	0.378149581
year2pm25	bact.pco1	1626	0.00776	0.001693648	2.969920976	0.085017283
year2pm25	bact.alpha.st	1626	-0.05952	0.001444905	2.473618844	0.115966852
