phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Smoking_binary	Neisseriaceae	1626	-0.59605	0.042810357	78.27358918	2.30E-18	2.23E-16
Smoking_binary	Actinomyces	1626	0.52554	0.033075111	60.69729325	1.18E-14	1.13E-12
Smoking_binary	Capnocytophaga	1626	-0.39708	0.018775673	33.84932628	7.17E-09	6.52E-07
A_FEV1_FVC_Post	Granulicatella	1622	-0.01783	0.01636901	27.59337695	1.70E-07	1.66E-05
CAT_score	Granulicatella	1626	0.02176	0.011010281	18.4967948	1.80E-05	0.001767659
A_FEV1_FVC_Post	Anaerovorax	1622	0.01431	0.010557613	18.08670155	2.23E-05	0.002164938
Smoking_binary	Peptococcus	1626	-0.27775	0.009327062	16.72817134	4.53E-05	0.003711198
Smoking_binary	Clostridiales	1626	0.26852	0.00860295	16.11757109	6.23E-05	0.005042706
A_FEV1_FVC_Post	Peptococcus	1622	0.0128	0.008610037	15.39467034	9.09E-05	0.008726472
A_FEV1_FVC_Post	Lachnospiraceae	1622	0.01288	0.008698975	14.9998896	0.000111817	0.010622615
Smoking_binary	Acinetobacter	1626	0.18603	0.008214791	14.20611876	0.000169727	0.013578138
year2pm25	Neisseriaceae	1626	0.13993	0.007931718	13.95162655	0.00019409	0.018632643
Smoking_binary	Peptostreptococcaceae	1626	-0.25129	0.007595294	12.99685263	0.000321486	0.025397428
Smoking_binary	Anaerovorax	1626	-0.25277	0.007564251	12.95657711	0.00032842	0.025616776
FEV1pred_post	Lachnospiraceae	1622	0.00546	0.007725357	13.30719357	0.000272804	0.026189162
CAT_score	Lachnospiraceae	1626	-0.01755	0.007284297	12.57495328	0.000402101	0.038601656
A_FEV1_FVC_Post	Peptostreptococcaceae	1622	0.01172	0.007173264	12.24229106	0.000479883	0.045108958
A_FEV1_FVC_Post	SR1	1622	0.01121	0.006485204	11.58210487	0.000682203	0.063444895
FEV1pred_post	Peptococcus	1622	0.00493	0.006299017	11.23379144	0.000821791	0.078070167
CAT_score	Staphylococcus	1626	0.01639	0.00623142	10.3559391	0.001316173	0.123720217
FEV1pred_post	Granulicatella	1622	-0.00438	0.004882166	8.132222818	0.00440396	0.400760353
FEV1pred_post	Anaerovorax	1622	0.00432	0.004760298	8.105136006	0.004469915	0.402292334
FEV1pred_post	SR1	1622	0.00419	0.004474155	7.972753423	0.004807046	0.42782713
year2pm25	Staphylococcus	1626	0.11026	0.004832371	8.019335209	0.004685416	0.435743674
FEV1pred_post	Peptostreptococcaceae	1622	0.00422	0.004593387	7.817976123	0.005234286	0.455382866
CAT_score	Campylobacter	1626	-0.01349	0.004378828	7.798522851	0.005290505	0.476145423
A_FEV1_FVC_Post	Actinomyces	1622	-0.00918	0.004383062	7.779676221	0.005345863	0.48647355
year2pm25	Actinomyces	1626	-0.10371	0.004329797	7.694584891	0.005602368	0.515417842
FEV1pred_post	Clostridiales	1622	0.00392	0.003934751	7.313541686	0.006915681	0.580917242
FEV1pred_post	Capnocytophaga	1622	0.00398	0.00405404	7.172057847	0.007479983	0.620838628
year2pm25	SR1	1626	0.10008	0.004001904	7.145771366	0.00758972	0.683074839
A_FEV1_FVC_Post	Clostridiales	1622	0.00849	0.003740022	6.950037067	0.008462211	0.761598965
Smoking_binary	Parvimonas	1626	0.16874	0.003481399	5.956013844	0.014773951	0.930758913
A_FEV1_FVC_Post	Capnocytophaga	1622	0.00803	0.003342101	5.907940518	0.015181237	1
A_FEV1_FVC_Post	Acinetobacter	1622	-0.0057	0.003352469	5.752338492	0.01657978	1
A_FEV1_FVC_Post	Neisseriaceae	1622	0.0061	0.001952377	3.402055915	0.065298587	1
A_FEV1_FVC_Post	Campylobacter	1622	0.00323	0.000555673	0.983129051	0.321576319	1
A_FEV1_FVC_Post	Staphylococcus	1622	-0.00235	0.000282771	0.465997707	0.49493228	1
A_FEV1_FVC_Post	Parvimonas	1622	0.00158	0.000132581	0.225439368	0.634990601	1
Biofuel_exposure	Granulicatella	1625	-0.1377	0.003088395	5.144614022	0.023450145	1
Biofuel_exposure	Actinomyces	1625	-0.09633	0.001527006	2.702639303	0.10037691	1
Biofuel_exposure	Peptostreptococcaceae	1625	0.05465	0.000493106	0.836976604	0.360399468	1
Biofuel_exposure	Peptococcus	1625	-0.04817	0.000385127	0.683520235	0.408499302	1
Biofuel_exposure	Clostridiales	1625	-0.04657	0.000355251	0.658933596	0.4170563	1
Biofuel_exposure	Anaerovorax	1625	-0.0373	0.000226277	0.384223859	0.535438766	1
Biofuel_exposure	Parvimonas	1625	0.03659	0.000224784	0.383040392	0.53606783	1
Biofuel_exposure	Neisseriaceae	1625	-0.03582	0.000212304	0.370089833	0.543040851	1
Biofuel_exposure	Lachnospiraceae	1625	-0.03565	0.000210445	0.360368024	0.54838614	1
Biofuel_exposure	SR1	1625	-0.02717	0.00012041	0.214025756	0.643692514	1
Biofuel_exposure	Campylobacter	1625	-0.0243	9.94E-05	0.176118351	0.67478633	1
Biofuel_exposure	Staphylococcus	1625	0.02254	8.24E-05	0.136052285	0.712285899	1
Biofuel_exposure	Capnocytophaga	1625	0.01907	5.95E-05	0.105033752	0.745912538	1
Biofuel_exposure	Acinetobacter	1625	0.01089	3.87E-05	0.066258785	0.79689676	1
CAT_score	SR1	1626	-0.00979	0.002233148	3.979714693	0.046219054	1
CAT_score	Anaerovorax	1626	-0.0088	0.001797525	3.060221378	0.080420562	1
CAT_score	Peptostreptococcaceae	1626	-0.00739	0.001286936	2.187555888	0.139324828	1
CAT_score	Clostridiales	1626	-0.00609	0.000867851	1.611462122	0.204469178	1
CAT_score	Neisseriaceae	1626	-0.0042	0.000416656	0.726937307	0.394004075	1
CAT_score	Actinomyces	1626	0.00403	0.000381316	0.674716587	0.41153317	1
CAT_score	Acinetobacter	1626	-0.00271	0.000341345	0.585367044	0.444327984	1
CAT_score	Peptococcus	1626	-0.00312	0.000231268	0.410635181	0.521738147	1
CAT_score	Capnocytophaga	1626	-0.00277	0.000179739	0.317453588	0.573220148	1
CAT_score	Parvimonas	1626	-0.00263	0.000166103	0.283176026	0.594700204	1
FEV1pred_post	Acinetobacter	1622	-0.00248	0.0031275	5.365041746	0.020669181	1
FEV1pred_post	Parvimonas	1622	0.00322	0.002725483	4.647091412	0.031253807	1
FEV1pred_post	Neisseriaceae	1622	0.00308	0.002457507	4.284594656	0.038618205	1
FEV1pred_post	Actinomyces	1622	-0.00078	0.000154793	0.27347591	0.601081444	1
FEV1pred_post	Campylobacter	1622	-6.00E-04	9.52E-05	0.168270744	0.681707758	1
FEV1pred_post	Staphylococcus	1622	-7.00E-05	1.08E-06	0.001778288	0.966368601	1
