phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue
A_FEV1_FVC_Post	fung.alpha.st	699	-0.00944	0.003996893	2.86599826	0.090921615
A_FEV1_FVC_Post	fung.pco1	699	-0.00138	0.001372843	0.975733535	0.323601156
Biofuel_exposure	fung.pco1	701	-0.02042	0.001163624	0.829967088	0.362599736
Biofuel_exposure	fung.alpha.st	701	-0.01587	4.34E-05	0.031109722	0.860047503
CAT_score	fung.pco1	702	-0.00293	0.002869001	2.051877664	0.152470163
CAT_score	fung.alpha.st	702	0.00251	0.000129867	0.09315478	0.760295956
FEV1pred_post	fung.pco1	699	-0.00074	0.001894038	1.346891162	0.246224299
FEV1pred_post	fung.alpha.st	699	-0.00203	0.000903061	0.645467563	0.422014892
Occupational_pollution	fung.alpha.st	702	-0.03599	0.000277853	0.199336627	0.655396514
Occupational_pollution	fung.pco1	702	-0.0063	0.00013825	0.098596761	0.753614753
SHS_binary	fung.pco1	702	-0.04231	0.005893313	4.228046512	0.040135686
SHS_binary	fung.alpha.st	702	-0.09222	0.00172341	1.238260669	0.266192931
Smoking_binary	fung.pco1	702	0.08668	0.013223736	9.559774152	0.002068772
Smoking_binary	fung.alpha.st	702	0.0189	3.87E-05	0.027766791	0.867706949
year2pm10	fung.pco1	702	0.00818	0.001538788	1.09901271	0.294848876
year2pm10	fung.alpha.st	702	-0.00221	6.90E-06	0.004947006	0.94394738
year2pm25	fung.pco1	702	0.00647	0.00028884	0.206026054	0.650042452
year2pm25	fung.alpha.st	702	-0.01494	9.48E-05	0.067964141	0.794401941
