phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
year2pm25	Cladosporium	702	0.31129	0.042483245	35.90294486	3.34E-09	9.71E-07
year2pm25	Catabotrydaceae	702	0.22164	0.020889458	15.06845864	0.000113604	0.032149909
CAT_score	Phaeoacremonium	702	0.02997	0.017999742	12.91978574	0.000348211	0.101329506
year2pm25	Penicillium	702	0.18076	0.014006273	10.04361075	0.00159611	0.438930272
year2pm25	Lentinula	702	0.16833	0.012167896	8.803821139	0.003109672	0.845830661
A_FEV1_FVC_Post	Penicillium	699	-0.01646	0.012167909	8.669322948	0.003345073	0.960036062
A_FEV1_FVC_Post	Cladosporium	699	-0.01302	0.007772266	6.275838691	0.012469211	1
A_FEV1_FVC_Post	Catabotrydaceae	699	-0.01273	0.007201147	5.098726059	0.024255497	1
A_FEV1_FVC_Post	Sarocladium	699	-0.01258	0.006905994	5.013032539	0.025475617	1
A_FEV1_FVC_Post	Peniophorella	699	0.01165	0.006270803	4.530623678	0.033647659	1
A_FEV1_FVC_Post	Lentinula	699	0.00509	0.001163908	0.828847207	0.362924464	1
A_FEV1_FVC_Post	Phaeoacremonium	699	-0.00351	0.000532781	0.37417674	0.540938125	1
Biofuel_exposure	Lentinula	701	-0.20121	0.007034441	5.054960082	0.024869944	1
Biofuel_exposure	Sarocladium	701	0.11162	0.002105994	1.524612914	0.217342458	1
Biofuel_exposure	Penicillium	701	0.09835	0.001678702	1.187045137	0.276306207	1
Biofuel_exposure	Phaeoacremonium	701	0.08504	0.001211706	0.853605417	0.355856888	1
Biofuel_exposure	Peniophorella	701	0.01994	7.05E-05	0.050803156	0.821738213	1
Biofuel_exposure	Cladosporium	701	0.01562	4.33E-05	0.03476346	0.852146909	1
Biofuel_exposure	Catabotrydaceae	701	0.0117	2.35E-05	0.016593293	0.897541553	1
CAT_score	Lentinula	702	-0.0173	0.006220499	4.472894935	0.034793459	1
CAT_score	Penicillium	702	0.01312	0.003571524	2.533670184	0.111897415	1
CAT_score	Cladosporium	702	-0.01133	0.002726065	2.197141417	0.138722166	1
CAT_score	Catabotrydaceae	702	0.00683	0.000960925	0.679050263	0.410197877	1
CAT_score	Sarocladium	702	-0.0025	0.000126442	0.091463121	0.762416154	1
CAT_score	Peniophorella	702	-0.00037	2.95E-06	0.002130528	0.963197923	1
FEV1pred_post	Sarocladium	699	-0.00563	0.006725608	4.881162827	0.027479525	1
FEV1pred_post	Penicillium	699	-0.00556	0.006748493	4.781333437	0.029105454	1
FEV1pred_post	Phaeoacremonium	699	-0.00532	0.005961408	4.210045034	0.040562691	1
FEV1pred_post	Catabotrydaceae	699	-0.00515	0.005722044	4.045307942	0.044683263	1
FEV1pred_post	Peniophorella	699	0.00365	0.002986039	2.149992612	0.14302681	1
FEV1pred_post	Cladosporium	699	-0.00317	0.002238479	1.79584857	0.180656952	1
FEV1pred_post	Lentinula	699	-0.00325	0.002310924	1.647618675	0.199714873	1
Occupational_pollution	Phaeoacremonium	702	0.15511	0.00503563	3.566496205	0.059374583	1
Occupational_pollution	Penicillium	702	0.10296	0.002296435	1.626984387	0.202548675	1
Occupational_pollution	Lentinula	702	-0.08689	0.001638451	1.172557056	0.279253621	1
Occupational_pollution	Peniophorella	702	0.06633	0.000973654	0.703371796	0.401942639	1
Occupational_pollution	Catabotrydaceae	702	0.05791	0.000720752	0.509203821	0.475724307	1
Occupational_pollution	Cladosporium	702	-0.05101	0.00057644	0.463436006	0.496250229	1
Occupational_pollution	Sarocladium	702	0.01676	5.93E-05	0.04290164	0.835971523	1
SHS_binary	Sarocladium	702	-0.20777	0.00860877	6.282935442	0.012418839	1
SHS_binary	Catabotrydaceae	702	-0.18182	0.006711769	4.770976435	0.029278334	1
SHS_binary	Cladosporium	702	-0.15725	0.005175837	4.183533122	0.041196178	1
SHS_binary	Phaeoacremonium	702	-0.11895	0.002797718	1.976962058	0.160159667	1
SHS_binary	Penicillium	702	-0.05298	0.000574484	0.406295273	0.524066724	1
SHS_binary	Lentinula	702	-0.03466	0.000246369	0.176060815	0.674910831	1
SHS_binary	Peniophorella	702	0.01035	2.24E-05	0.016154259	0.898898644	1
Smoking_binary	Peniophorella	702	-0.2321	0.006022356	4.373626043	0.036863317	1
Smoking_binary	Sarocladium	702	-0.20651	0.004547793	3.304958852	0.069503328	1
Smoking_binary	Cladosporium	702	0.10171	0.001157874	0.931516396	0.334806362	1
Smoking_binary	Penicillium	702	0.0803	0.000705673	0.499143897	0.480114334	1
Smoking_binary	Catabotrydaceae	702	0.06189	0.000415808	0.293672649	0.588051011	1
Smoking_binary	Phaeoacremonium	702	0.02277	5.48E-05	0.038623977	0.844253184	1
Smoking_binary	Lentinula	702	0.00257	7.23E-07	0.000516716	0.981871084	1
year2pm25	Peniophorella	702	-0.12819	0.007195766	5.232236985	0.022472931	1
year2pm25	Phaeoacremonium	702	0.11636	0.005608079	3.974263164	0.046592781	1
year2pm25	Sarocladium	702	0.01555	0.00010102	0.07307191	0.786996091	1
