phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue
A_FEV1_FVC_Post	MetagMod.pco1.st	1108	-0.01701	0.01446742	17.07968314	3.86E-05
FEV1pred_post	MetagMod.pco1.st	1108	-0.00628	0.009516526	11.17535876	0.000856871
A_FEV1_FVC_Post	ko.alpha.st	1108	0.00961	0.004598411	5.419030862	0.02009938
SHS_binary	ko.alpha.st	1112	0.13597	0.003780512	4.4700635	0.034717836
FEV1pred_post	ko.alpha.st	1108	0.00394	0.003733694	4.395919005	0.036253386
SHS_binary	MetagMod.pco1.st	1112	-0.11548	0.002735103	3.20166236	0.073838001
Biofuel_exposure	ko.alpha.st	1111	0.12349	0.0026141	3.08584432	0.079254232
Smoking_binary	MetagMod.pco1.st	1112	0.13798	0.002108704	2.466769474	0.116563753
CAT_score	ko.alpha.st	1112	0.00703	0.001038157	1.223911366	0.268835853
Biofuel_exposure	MetagMod.pco1.st	1111	-0.06862	0.00080954	0.945066858	0.331191695
CAT_score	MetagMod.pco1.st	1112	-0.00544	0.000624179	0.729017613	0.39338736
Smoking_binary	ko.alpha.st	1112	-0.07289	0.000586781	0.69143844	0.405855681
year2pm10	ko.alpha.st	1112	-0.0161	0.00037858	0.446003697	0.504378705
Occupational_pollution	ko.alpha.st	1112	-0.0327	0.000232322	0.273654412	0.600995993
year2pm25	MetagMod.pco1.st	1112	-0.02016	0.000163115	0.190418859	0.66265371
Occupational_pollution	MetagMod.pco1.st	1112	-0.0261	0.000148418	0.1732598	0.677311873
year2pm10	MetagMod.pco1.st	1112	0.00958	0.000134294	0.156768684	0.692225748
year2pm25	ko.alpha.st	1112	-0.00571	1.30E-05	0.015358554	0.901393591
