phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Smoking_binary	M00008	1112	-582.94263	0.01221719	14.3878773	0.000156838	0.075752748
A_FEV1_FVC_Post	M00008	1108	26.65672	0.011532958	13.52306971	0.000247057	0.118306126
A_FEV1_FVC_Post	map00630	1108	-14.26685	0.009514177	11.59171005	0.000686404	0.322937907
Smoking_binary	M00496	1112	-755.49409	0.010038436	11.55594379	0.000699504	0.33436292
Occupational_pollution	M00519	1112	547.62582	0.009683909	11.10113956	0.000891384	0.444800682
A_FEV1_FVC_Post	M00029	1108	26.40245	0.009117715	10.74729457	0.001077062	0.496750586
FEV1pred_post	map00630	1108	-6.22072	0.008727772	10.6243132	0.001150353	0.548718247
FEV1pred_post	M00496	1108	15.13346	0.008782259	10.06955951	0.001549246	0.729694767
A_FEV1_FVC_Post	M00519	1108	32.93825	0.008031555	9.158449701	0.002533396	1
Smoking_binary	map00040	1112	277.22826	0.007592356	9.041835533	0.002698524	1
Smoking_binary	map00630	1112	267.70537	0.00740792	9.035064567	0.002708454	1
FEV1pred_post	M00008	1108	9.81707	0.007547396	8.812257931	0.003057071	1
Smoking_binary	M00029	1112	-505.01159	0.007398726	8.733279047	0.003190995	1
FEV1pred_post	M00018	1108	8.87551	0.007168863	8.161026475	0.00436073	1
FEV1pred_post	M00166	1108	8.99946	0.006730821	7.993271944	0.004780409	1
Smoking_binary	M00216	1112	222.61322	0.007060666	7.951857684	0.004889902	1
SHS_binary	M00242	1112	435.7314	0.006946575	7.915657292	0.00498799	1
A_FEV1_FVC_Post	M00083	1108	15.97998	0.006457954	7.487935582	0.006311574	1
A_FEV1_FVC_Post	map00040	1108	-11.86479	0.006276943	7.454116596	0.006430424	1
A_FEV1_FVC_Post	M00216	1108	-10.10759	0.006557227	7.353130184	0.006799124	1
FEV1pred_post	M00029	1108	9.90413	0.00619065	7.274227386	0.0071022	1
FEV1pred_post	M00519	1108	13.16537	0.006191148	7.046350647	0.008057538	1
A_FEV1_FVC_Post	M00496	1108	27.30924	0.005927104	6.775695756	0.009365308	1
Occupational_pollution	M00496	1112	402.42451	0.005601658	6.418710481	0.011430128	1
Smoking_binary	M00166	1112	-367.52986	0.005155067	6.126422846	0.013467141	1
A_FEV1_FVC_Post	M00018	1108	16.61199	0.005204752	5.913043014	0.015188287	1
FEV1pred_post	M00242	1108	10.99842	0.005206226	5.898777457	0.01531111	1
Smoking_binary	M00083	1112	-300.66122	0.005073026	5.893446149	0.015356692	1
