phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue
CAT_score	VF.abund.st	1112	0.01593	0.005303374	6.06073376	0.013974294
A_FEV1_FVC_Post	VF.pco1	1108	0.00206	0.002953743	3.755800052	0.052880714
FEV1pred_post	VF.pco1	1108	0.00091	0.002763883	3.513613724	0.06113189
Occupational_pollution	VF.pco1	1112	0.02721	0.002249924	2.869450042	0.09055829
Smoking_binary	VF.abund.st	1112	-0.14636	0.002354718	2.682784603	0.101723688
Smoking_binary	VF.alpha.st	1112	-0.13777	0.002103087	2.584057211	0.108231117
year2pm25	VF.abund.st	1112	0.06262	0.001561571	1.777676838	0.182710398
year2pm10	VF.abund.st	1112	0.02916	0.001235693	1.406227138	0.235939343
Biofuel_exposure	VF.alpha.st	1111	0.07032	0.000850455	1.042228891	0.307527922
Biofuel_exposure	VF.abund.st	1111	0.07007	0.000837481	0.951906662	0.32944876
Occupational_pollution	VF.abund.st	1112	-0.06015	0.000782279	0.889821995	0.345732304
FEV1pred_post	VF.abund.st	1108	-0.00174	0.000726747	0.823832097	0.364261285
Biofuel_exposure	VF.pco1	1111	-0.01517	0.000551635	0.702084203	0.402266112
FEV1pred_post	VF.alpha.st	1108	-0.00145	0.000508379	0.622096159	0.430439666
SHS_binary	VF.alpha.st	1112	0.04653	0.000444242	0.544830963	0.460594639
Occupational_pollution	VF.alpha.st	1112	-0.04084	0.000363438	0.445691029	0.504528129
SHS_binary	VF.abund.st	1112	0.04054	0.000334487	0.380294739	0.537572914
year2pm10	VF.pco1	1112	-0.00333	0.000226259	0.28788614	0.591686632
CAT_score	VF.alpha.st	1112	-0.00314	0.000207916	0.254927626	0.613727509
A_FEV1_FVC_Post	VF.abund.st	1108	0.00185	0.000169158	0.191645347	0.661636822
CAT_score	VF.pco1	1112	7.00E-04	0.000145484	0.185093383	0.667116239
year2pm10	VF.alpha.st	1112	0.00966	0.000136845	0.167772711	0.682178507
year2pm25	VF.pco1	1112	0.00432	0.000104213	0.13257877	0.715842972
Smoking_binary	VF.pco1	1112	-0.0056	4.85E-05	0.061649885	0.803953241
year2pm25	VF.alpha.st	1112	-0.0084	2.83E-05	0.034716862	0.852224499
A_FEV1_FVC_Post	VF.alpha.st	1108	-0.00031	4.86E-06	0.005946743	0.938546007
SHS_binary	VF.pco1	1112	0.00103	3.06E-06	0.003888963	0.950286221
