phenotype	taxon	Nsamples	effect.size	R2	F.stat	Pvalue	padj
Smoking_binary	VF0009	1112	-0.25026	0.006851309	7.6670235	0.005718258	1
A_FEV1_FVC_Post	VF1056	1108	0.01142	0.006572012	7.494450548	0.006288938	1
A_FEV1_FVC_Post	VF0041	1108	-0.01154	0.006558979	7.343785844	0.006834315	1
CAT_score	VF0009	1112	0.01757	0.006421609	7.183029645	0.007469386	1
CAT_score	VF0041	1112	-0.01716	0.00612582	6.881075425	0.008831587	1
FEV1pred_post	VF1056	1108	0.00466	0.005280052	6.013084345	0.01435502	1
Smoking_binary	VF1056	1112	-0.20525	0.004701716	5.365633913	0.020720055	1
A_FEV1_FVC_Post	VF0294	1108	0.009	0.003984836	4.420087107	0.035745463	1
SHS_binary	VF0009	1112	-0.13674	0.003786962	4.224689806	0.040075145	1
year2pm25	VF0041	1112	-0.09734	0.003755674	4.208545683	0.04045677	1
FEV1pred_post	VF0294	1108	0.00394	0.003681986	4.082908883	0.043561398	1
Smoking_binary	VF0294	1112	-0.1818	0.003615291	4.023297367	0.04511997	1
Occupational_pollution	VF1056	1112	0.09093	0.001814881	2.064982205	0.151000538	1
Occupational_pollution	VF0009	1112	0.0798	0.001369901	1.524514794	0.217200751	1
Biofuel_exposure	VF1056	1111	-0.07814	0.001057993	1.201408778	0.273279982	1
Biofuel_exposure	VF0041	1111	-0.07942	0.001070905	1.195673146	0.274427376	1
SHS_binary	VF1056	1112	0.07003	0.001013443	1.152148335	0.283334862	1
Smoking_binary	VF0041	1112	-0.0932	0.00095041	1.061983979	0.302989239	1
CAT_score	VF1056	1112	0.00603	0.000772916	0.878482954	0.348822884	1
year2pm25	VF0009	1112	-0.04245	0.000713963	0.794018359	0.373082326	1
A_FEV1_FVC_Post	VF0009	1108	-0.0031	0.000472537	0.523488672	0.469511402	1
SHS_binary	VF0294	1112	-0.03908	0.000309298	0.343058313	0.55818913	1
year2pm25	VF0294	1112	0.02665	0.000281348	0.312049125	0.576538958	1
SHS_binary	VF0041	1112	0.03592	0.000261326	0.291800612	0.589178106	1
FEV1pred_post	VF0041	1108	-0.00105	0.000262101	0.291590544	0.589312569	1
CAT_score	VF0294	1112	-0.00353	0.000259592	0.287912414	0.591669722	1
year2pm25	VF1056	1112	0.02045	0.000169133	0.192113873	0.661248957	1
Occupational_pollution	VF0041	1112	-0.02314	0.000115243	0.128662709	0.719891344	1
Biofuel_exposure	VF0009	1111	-0.01694	4.87E-05	0.054118402	0.816089154	1
Biofuel_exposure	VF0294	1111	0.01435	3.49E-05	0.038714132	0.844052394	1
Occupational_pollution	VF0294	1112	0.00579	7.22E-06	0.008000357	0.928744739	1
FEV1pred_post	VF0009	1108	4.00E-05	3.82E-07	0.000422483	0.983604865	1
