microbeAbb	taxon	1-2	2-3
bacteria_1	Prevotella	0.347061152429254	0.122434716568624
bacteria_10	Leptotrichia	0.0917978382611598	0.0694861983381074
bacteria_102	Eikenella	0.120789751075206	0.0541883007911074
bacteria_107	Rs-045	0.120789751075206	0.054335051456334
bacteria_11	Prevotella_7	0.120789751075206	0.0545052862015964
bacteria_12	Granulicatella	0.547565201764743	0.0682424764395867
bacteria_13	Actinomyces	0.117498757191734	0.0604135421563714
bacteria_14	Actinobacillus	0.55879981418071	0.0577326534175242
bacteria_15	Treponema	0.107541212412639	0.709128224023667
bacteria_16	Acinetobacter	0.120789751075206	0.054335051456334
bacteria_17	Mogibacteriaceae	0.197724019403629	0.591238477912986
bacteria_18	Bulleidia	0.796162269736468	0.126334978912078
bacteria_2	Neisseriaceae	0.831137893230795	0.106707082055433
bacteria_20	Lachnospiraceae	0.00115887992804309	0.0694889166632449
bacteria_21	Aggregatibacter	0.648531724110559	0.0723178072255722
bacteria_22	SR1	0.218539166420576	0.623934235024942
bacteria_23	Neisseria	0.697442625204145	0.0995897679550294
bacteria_24	Atopobium	0.169519805688265	0.139137222476229
bacteria_25	Lautropia	0.206175167405164	0.0654796725759452
bacteria_27	Filifactor	0.137355834646455	0.254233802117214
bacteria_28	Oribacterium	0.0159260074469808	0.0566340503279725
bacteria_29	Leptotrichiaceae	0.120789751075206	0.054335051456334
bacteria_3	Streptococcus	0.379566087385409	0.0698844697112498
bacteria_30	Clostridiales	0.35076336866416	0.060369271192353
bacteria_31	Pasteurellaceae	0.457444518886859	0.0607253691166472
bacteria_32	Capnocytophaga	0.0913363575666688	0.0604351294857677
bacteria_33	Corynebacterium	0.120789751075206	0.0544980834682378
bacteria_34	Kingella	0.536117520150529	0.0947390873855129
bacteria_35	Dialister	1	0.0566322128046284
bacteria_36	Oxalobacteraceae	0.120789751075206	0.0544466833939722
bacteria_37	Erwinia	0.12635692557932	0.0581646685268555
bacteria_38	Moraxella	0.120789751075206	0.054335051456334
bacteria_39	Moryella	0.261175083233544	0.0696342458813135
bacteria_4	Veillonella	0.511738049436932	0.0733812052937752
bacteria_40	Parvimonas	0.173019868414681	0.493601452060358
bacteria_41	Bacteroidales	0.0477831879792232	0.770866556551656
bacteria_42	Mogibacterium	0.554807791443398	0.127821629471918
bacteria_43	Catonella	0.0224613418119164	0.826527144722922
bacteria_44	Mycoplasma	0.0354318959448549	0.779332889727311
bacteria_45	Tannerella	0.0743321147993029	0.822450155639707
bacteria_46	Selenomonas	0.0524471507510373	0.991498726630223
bacteria_47	Actinomycetales	0.120789751075206	0.054335051456334
bacteria_48	Planococcaceae	0.414399591452021	0.0820947302826845
bacteria_49	Weeksellaceae	0.0929633099347837	0.0562070743361757
bacteria_5	Fusobacterium	1	0.581568956336155
bacteria_50	Lactobacillus	0.131305028774771	0.0567314016830932
bacteria_51	Pseudomonas	0.120789751075206	0.054335051456334
bacteria_52	Staphylococcus	0.120789751075206	0.054335051456334
bacteria_54	Peptococcus	0.0444438824869535	0.514120784719985
bacteria_55	Butyrivibrio	0.120789751075206	0.0652906576207506
bacteria_56	Megasphaera	0.120789751075206	0.0742576115421966
bacteria_57	Sharpea	0.120789751075206	0.0824180151539983
bacteria_58	RF39	0.327844692850058	0.659168993772778
bacteria_59	Paludibacter	0.26907590814881	0.0976400985414251
bacteria_6	Porphyromonas	0.0609693884048584	0.436546822039438
bacteria_60	Enterococcus	0.420332485575518	0.0708682175138755
bacteria_61	Comamonadaceae	0.13021012995551	0.0797309403169793
bacteria_62	Peptostreptococcaceae	0.177410864566107	0.770065774410851
bacteria_63	TM7-3	0.279302169061645	0.0895614796586763
bacteria_64	Streptophyta	0.120789751075206	0.0544012438848603
bacteria_65	Coriobacteriaceae	0.120789751075206	0.054335051456334
bacteria_66	Enterobacteriaceae	0.12635692557932	0.0599945724811252
bacteria_67	Alloiococcus	0.120789751075206	0.054335051456334
bacteria_68	Anaerovorax	0.0406102257559263	0.779045394215313
bacteria_69	Acidaminobacteraceae	0.0744266490324562	0.477644492111284
bacteria_7	Haemophilus	0.812565593783907	0.0878370336717872
bacteria_70	Slackia	0.120789751075206	0.054335051456334
bacteria_71	Cardiobacterium	0.198599174621893	0.0588862618497923
bacteria_72	Tissierellaceae	0.625539026274931	0.0987543435007778
bacteria_73	Gemella	0.255004059660696	0.0596692202379874
bacteria_74	Achromobacter	0.120789751075206	0.0547023305425522
bacteria_75	Shuttleworthia	0.120789751075206	0.054335051456334
bacteria_76	Mannheimia	0.200456870854907	0.0550842085483201
bacteria_77	Acholeplasma	0.120789751075206	0.054335051456334
bacteria_78	Pyramidobacter	0.120789751075206	0.054335051456334
bacteria_79	Schwartzia	0.0363785229017794	0.832192004838269
bacteria_8	Rothia	0.144587150779349	0.0583471217855098
bacteria_80	Peptostreptococcus	0.0387373214406794	0.650588597714449
bacteria_81	ML615J-28	0.023743006779309	0.90041208009039
bacteria_82	Bacteroides	0.120789751075206	0.054335051456334
bacteria_83	BS11	0.120789751075206	0.054335051456334
bacteria_84	Burkholderiaceae	0.120789751075206	0.0541664818667677
bacteria_85	Sediminibacterium	0.120789751075206	0.0575669400659235
bacteria_86	Sphingomonas	0.120789751075206	0.054335051456334
bacteria_87	Ruminococcus	0.120789751075206	0.0768356695791975
bacteria_88	Aeromonadaceae	0.131305028774771	0.0583356075086274
bacteria_89	Sneathia	0.120789751075206	0.0546110597809056
bacteria_9	Gemellaceae	0.400637511474042	0.0723975369403349
bacteria_90	Bifidobacterium	0.120789751075206	0.054335051456334
bacteria_91	Desulfomicrobium	0.120789751075206	0.0881209829774354
bacteria_92	Lactococcus	0.120789751075206	0.054335051456334
bacteria_94	Desulfovibrio	0.120789751075206	0.054335051456334
bacteria_95	Desulfobulbus	0.120789751075206	0.054335051456334
bacteria_98	Actinomycetaceae	0.120789751075206	0.054335051456334
bacteria_99	Stenotrophomonas	0.120789751075206	0.0869368846184308
fungi_103	Didymellaceae_2	0.120789751075206	0.0846975449462311
fungi_104	Didymosphaeriaceae	0.0109521553345809	0.715808654243283
fungi_109	Paracamarosporium	0.0778891816720733	0.0717047364802952
fungi_110	Paraconiothyrium	0.0745085577186085	0.595562159326542
fungi_111	Paraphaeosphaeria	0.0945546674795019	0.211234224190139
fungi_112	Pseudopithomyces	0.120789751075206	0.0544981972644012
fungi_113	Spegazzinia	0.130156449738254	0.0666861241943277
fungi_116	Halotthiaceae	0.948193306928557	0.235377480600267
fungi_12	Neodeightonia	0.0271903095387125	0.204033677983041
fungi_123	Lophiostoma	0.123616386776089	0.0993406516182076
fungi_13	Phyllostictaceae	0.0986966319456868	0.0880776600399505
fungi_134	Periconia	0.120789751075206	0.0955537910086238
fungi_137	Leptospora	0.120789751075206	0.434498425501063
fungi_138	Neosetophoma	0.131459642827695	0.477244899424313
fungi_139	Ophiosphaerella	0.120789751075206	0.0603956356517227
fungi_143	Phaeosphaeria	0.120789751075206	0.0349045341035744
fungi_145	Setophoma	0.0792854692278387	0.0851568714620709
fungi_147	Prosthemium	0.0958781621521169	0.0979155073254146
fungi_148	Pleosporaceae	0.120789751075206	0.0862128702576735
fungi_149	Alternaria	0.120789751075206	0.054335051456334
fungi_150	Bipolaris	0.120789751075206	0.0637299983910888
fungi_151	Curvularia	0.120789751075206	0.0907753851470986
fungi_154	Exserohilum	0.0779363847505604	0.570941399435206
fungi_157	Neomassarina	0.124964391360147	0.0292744217238017
fungi_17	Capnodiales	0.120789751075206	0.0338054884954393
fungi_171	Roussoella	0.0823200776196311	0.0648988580478026
fungi_174	Torula	0.120789751075206	0.133489121371004
fungi_179	Pleosporales_2	0.120789751075206	0.126378849591436
fungi_180	Strigula	0.0857510597324872	0.0798156734743003
fungi_182	Spissiomyces	0.0456353859350877	0.19327231336121
fungi_183	Ochroconis	0.120789751075206	0.0597852191039673
fungi_191	Chaetothyriales	0.0898380971077421	0.149865059969941
fungi_196	Sarcinomyces	0.0328842195126322	0.307198042661115
fungi_197	Strelitziana	0.0762572299661931	0.217871425511491
fungi_198	Cyphellophora	0.120789751075206	0.0756963269831057
fungi_2	unclassified_Ascomycota	0.120789751075206	0.0545093402659317
fungi_203	Exophiala	0.12599648414463	0.0622921783545057
fungi_209	Knufia	0.130623004055639	0.554912121471915
fungi_211	Chaetothyriales_2	0.0670062519461158	0.268387624978523
fungi_212	Eurotiales	0.123616386776089	0.0678448276583692
fungi_213	Aspergillaceae	0.120789751075206	0.0625595072486848
fungi_214	Aspergillus	0.120789751075206	0.0544447012669171
fungi_218	Penicillium	0.120789751075206	0.0729052772938031
fungi_219	Phialosimplex	0.0602187023657632	0.163351427363312
fungi_220	Xeromyces	0.0667075513770677	0.124150536945509
fungi_221	Aspergillaceae_2	0.120789751075206	0.054335051456334
fungi_224	Rasamsonia	0.0652213339214221	0.188434057414508
fungi_226	Talaromyces	0.120789751075206	0.0545193876360354
fungi_227	Thermomyces	0.0592625923123776	0.424137996344821
fungi_23	Cladosporium	0.227481328872082	0.0684261904838161
fungi_230	Arachnomyces	0.130779871729397	0.039696955310576
fungi_24	Toxicocladosporium	0.120789751075206	0.0803359485978854
fungi_240	Spiromastix	0.0574591779793939	0.0958684345944983
fungi_242	Onygenales	0.092729965507101	0.0931506382244081
fungi_27	Ramichloridium	0.130542728366811	0.0932478284840701
fungi_28	Uwebraunia	0.107619202782841	0.0930937734020835
fungi_29	Mycosphaerellaceae	0.120789751075206	0.0546433645236672
fungi_296	Pezizaceae	0.120789751075206	0.428586132313815
fungi_303	Trichaleurina	0.00489206679188882	0.678799593108446
fungi_305	Arcuadendron	0.125298025887714	0.0666204948736323
fungi_307	Saccharomycetales_2	0.114080015769458	0.0636306250865079
fungi_309	Debaryomyces	0.120789751075206	0.0947230076563559
fungi_312	Meyerozyma	0.120789751075206	0.054375183750277
fungi_317	Dipodascus	0.131020836128598	0.0771019452110234
fungi_318	Metschnikowia	0.120789751075206	0.0545103667365985
fungi_320	Cyberlindnera	0.120789751075206	0.293602205034825
fungi_321	Wickerhamomyces	0.258975648460466	0.0618946599323686
fungi_322	Pichia	0.120789751075206	0.054335051456334
fungi_324	Issatchenkia	0.120789751075206	0.195676466138493
fungi_325	Kazachstania	0.130262801728605	0.0207515429188391
fungi_327	Saccharomyces	0.346338402333236	0.0613738974252658
fungi_330	Candida	0.0785292076199005	0.0927626444466598
fungi_333	Blastobotrys	0.336138961652675	0.295816153667825
fungi_335	Wickerhamiella	0.0802513489026594	0.119178588341236
fungi_337	Saccharomycetales	0.120789751075206	0.0686424548455008
fungi_338	Sordariomycetes	0.129233396853358	0.0631910843637535
fungi_347	Dinemasporium	0.0438309872459502	0.123886653080711
fungi_349	Coniochaeta	0.086147762088971	0.2450951562451
fungi_355	Diaporthe	0.120789751075206	0.441244058151463
