node	ttestPval.1-2	wilcoxPval.1-2	ttestPval.2-3	wilcoxPval.2-3	taxon
fungi_492	4.73567330809971e-44	4.14244316250894e-17	1.27864331332135e-25	2.66540413288799e-13	Humicola
bacteria_5	2.29318295610288e-40	4.14244316250894e-17	4.22986293641884e-08	2.96623191107246e-07	Fusobacterium
fungi_771	5.00078940316133e-33	1.32338755100457e-17	1	1	Phanerochaete
bacteria_35	1.1224345328103e-36	4.06546922060708e-16	1	1	Dialister
fungi_116	2.29056446313227e-43	5.75381734066585e-18	0.999909820027573	0.998921025307779	Halotthiaceae
fungi_720	3.1223322970884e-29	6.56282067189523e-18	1	1	Polyporales
fungi_772	7.46651605901389e-25	2.26070243079067e-16	1	1	Phlebiopsis
fungi_805	1.07196045925123e-20	2.49091378602569e-15	1	0.999999999999991	Steccherinum
bacteria_2	1.51532813150398e-18	5.45001381190659e-14	1	1	Neisseriaceae
bacteria_7	8.90396228977187e-21	6.79122990305056e-15	1	1	Haemophilus
bacteria_18	1.07700345821027e-24	6.8492552908345e-16	1	1	Bulleidia
fungi_763	1.39134035929683e-14	7.87282208252462e-12	1	0.999999999999999	Phlebia
fungi_816	8.39014764190457e-11	5.04145976716707e-09	1	1	Peniophora
bacteria_23	2.61146692936631e-12	9.36042648872363e-10	1	1	Neisseria
fungi_796	1.21687123875325e-10	3.93439122587011e-09	1	1	Trametes
fungi_808	3.21325575743992e-16	1.77323638928768e-12	1	1	Polyporales_2
fungi_560	1.56241106682144e-07	1.30287804130521e-06	1	0.99999999999999	Agaricomycetes
bacteria_21	7.27884059058348e-15	4.95477349829807e-12	1	1	Aggregatibacter
fungi_711	2.24970732451534e-15	3.31454963513772e-12	1	0.999999999999996	Schizoporaceae
bacteria_72	1.69455074206179e-17	4.80598510885207e-13	1	0.999999999999987	Tissierellaceae
fungi_700	9.50727149584355e-06	1.54437420217836e-05	0.999999999998316	0.999999999816676	Hymenochaete
fungi_845	0.00333062436411395	0.00338775756053374	1	1	Agaricomycetes_2
bacteria_14	4.35427676335072e-11	1.89216904211822e-09	1	1	Actinobacillus
bacteria_42	2.05978663820061e-11	1.59208045301633e-09	1	1	Mogibacterium
bacteria_12	9.60776671134287e-09	2.14007083927817e-07	1	1	Granulicatella
bacteria_34	0.000799423742481647	0.00129885228031249	1	1	Kingella
fungi_717	0.384968072547626	0.372082771665381	1.23043291173494e-34	2.83166310661014e-17	Schizoporaceae_2
bacteria_4	7.87742454820782e-05	8.03456173185307e-05	1	1	Veillonella
fungi_596	0.000833028957326998	0.000639899351278459	1	1	Gymnopus
fungi_841	0.976300669893153	0.954254136834241	1	0.999999999999997	Trechispora
fungi_748	0.84176335782122	0.84881881953619	1	1	Ceriporia
bacteria_31	0.000457741777292053	0.000471421039955639	1	1	Pasteurellaceae
bacteria_60	0.112157668971067	0.0847812750004031	1	1	Enterococcus
fungi_712	0.975221952903959	0.958119333510876	1	1	Hyphodontia
bacteria_48	0.217368456191644	0.125781718390123	1	1	Planococcaceae
fungi_795	0.987710870577752	0.981324457649825	1	1	Tinctoporellus
bacteria_9	0.324707451036296	0.2708306676887	1	1	Gemellaceae
fungi_792	0.0410505366751704	0.0194187072171095	0.999999999983801	0.99999999889091	Microporus
fungi_786	0.527755841652596	0.428292727472448	1	1	Grammothele
bacteria_3	0.420534257101711	0.360970226948979	1	1	Streptococcus
bacteria_30	0.657171696485981	0.264620327798934	1	1	Clostridiales
bacteria_1	0.683692389878676	0.409569709794626	1	0.999999999999999	Prevotella
fungi_327	0.0409833203556437	0.00433422303698744	1	0.999999999999999	Saccharomyces
fungi_333	0.881411243933649	0.751452977886436	0.999930571157452	0.999565231218547	Blastobotrys
fungi_956	0.962684387216482	0.810920856055443	1	1	Chytridiomycota
bacteria_58	0.934991734775851	0.738213966027303	3.74356807363322e-15	6.15958606102987e-12	RF39
fungi_729	0.638367834378375	0.368723280240331	1	1	Dacryobolus
fungi_713	0.999999728268293	0.999996951780249	1	0.999999999999777	Lyomyces
fungi_698	0.998119238053399	0.993055534381913	1	1	Fuscoporia
fungi_963	0.999997157374628	0.99998056475441	0.999999697516404	0.999997191438561	Mortierella
bacteria_63	0.999999395215973	0.999975430774169	1	0.999999999999999	TM7-3
bacteria_59	0.99955009402104	0.995262263578538	0.999999999999998	0.999999999999775	Paludibacter
fungi_616	0.999999999999772	0.99999999996953	1	1	Schizophyllum
bacteria_39	0.999908179720753	0.999320619416596	1	0.999999999999998	Moryella
fungi_321	0.664993943675674	0.302263451635255	1	0.999999999999999	Wickerhamomyces
bacteria_73	0.999997988424363	0.9999207798254	1	1	Gemella
fungi_769	0.999999999124938	0.99999998307224	1	0.999999999999983	Hyphodermella
fungi_706	0.999939456996125	0.99958924719205	1	1	Peniophorella
fungi_716	0.999999999999982	0.999999999995717	1	1	Xylodon
fungi_23	0.99999997233029	0.999999033763839	1	1	Cladosporium
fungi_52	0.998976010969266	0.9900908031254	1	1	Septoria
bacteria_22	0.999999997495732	0.999999962669447	2.64434320557216e-11	1.68037102465434e-09	SR1
fungi_752	0.999998836099622	0.999993560376821	0.9999998292325	0.999997572487135	Irpex
fungi_605	0.999999952659209	0.999998901894858	0.999983492562764	0.999822897776793	Hohenbuehelia
bacteria_25	0.999999999958356	0.999999997223308	1	1	Lautropia
bacteria_76	0.999999999380387	0.999999882652871	1	1	Mannheimia
