source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Prevotella,Neisseriaceae,bacteria_1,bacteria_2,-0.406278877223923,0.000953458121765172,bacteria_1|bacteria_2,COPD,bb,0.406278877223923
Prevotella,Veillonella,bacteria_1,bacteria_4,0.506810681396586,2.25036490646424e-05,bacteria_1|bacteria_4,COPD,bb,0.506810681396586
Veillonella,Porphyromonas,bacteria_4,bacteria_6,-0.444969874969694,0.000258220157884459,bacteria_4|bacteria_6,COPD,bb,0.444969874969694
Fusobacterium,Porphyromonas,bacteria_5,bacteria_6,0.525684726595394,9.68216137797739e-06,bacteria_5|bacteria_6,COPD,bb,0.525684726595394
Neisseriaceae,Haemophilus,bacteria_2,bacteria_7,0.610391013881154,1.08776712304248e-07,bacteria_2|bacteria_7,COPD,bb,0.610391013881154
Prevotella,Rothia,bacteria_1,bacteria_8,-0.405612032011949,0.000973866217571562,bacteria_1|bacteria_8,COPD,bb,0.405612032011949
Streptococcus,Gemellaceae,bacteria_3,bacteria_9,0.629887900099383,3.18623070150181e-08,bacteria_3|bacteria_9,COPD,bb,0.629887900099383
Prevotella,Prevotella_7,bacteria_1,bacteria_11,0.42814622899705,0.000464496965725036,bacteria_1|bacteria_11,COPD,bb,0.42814622899705
Streptococcus,Granulicatella,bacteria_3,bacteria_12,0.479349458572403,7.04643091782309e-05,bacteria_3|bacteria_12,COPD,bb,0.479349458572403
Gemellaceae,Granulicatella,bacteria_9,bacteria_12,0.508636314862068,2.0785789186073e-05,bacteria_9|bacteria_12,COPD,bb,0.508636314862068
Porphyromonas,Treponema,bacteria_6,bacteria_15,0.432853199394617,0.000395333811422205,bacteria_6|bacteria_15,COPD,bb,0.432853199394617
Treponema,Mogibacteriaceae,bacteria_15,bacteria_17,0.528204944469592,8.61766046789114e-06,bacteria_15|bacteria_17,COPD,bb,0.528204944469592
Prevotella,Bulleidia,bacteria_1,bacteria_18,0.594551130921077,2.77973448037372e-07,bacteria_1|bacteria_18,COPD,bb,0.594551130921077
Mogibacteriaceae,Bulleidia,bacteria_17,bacteria_18,0.449318162064234,0.000220754912954257,bacteria_17|bacteria_18,COPD,bb,0.449318162064234
Prevotella,Aggregatibacter,bacteria_1,bacteria_21,-0.401704704566328,0.00110157468892336,bacteria_1|bacteria_21,COPD,bb,0.401704704566328
Neisseriaceae,Aggregatibacter,bacteria_2,bacteria_21,0.475864080988817,8.0893613401356e-05,bacteria_2|bacteria_21,COPD,bb,0.475864080988817
Haemophilus,Aggregatibacter,bacteria_7,bacteria_21,0.523308741962259,1.07967134836962e-05,bacteria_7|bacteria_21,COPD,bb,0.523308741962259
Prevotella,Neisseria,bacteria_1,bacteria_23,-0.482158349717124,6.29775729341642e-05,bacteria_1|bacteria_23,COPD,bb,0.482158349717124
Neisseriaceae,Neisseria,bacteria_2,bacteria_23,0.77672394362057,7.32747196252603e-14,bacteria_2|bacteria_23,COPD,bb,0.77672394362057
Haemophilus,Neisseria,bacteria_7,bacteria_23,0.478284926305716,7.35100567963443e-05,bacteria_7|bacteria_23,COPD,bb,0.478284926305716
Aggregatibacter,Neisseria,bacteria_21,bacteria_23,0.519997603286976,1.25500165513159e-05,bacteria_21|bacteria_23,COPD,bb,0.519997603286976
Fusobacterium,SR1,bacteria_5,bacteria_22,0.501476646904349,2.83068008619658e-05,bacteria_5|bacteria_22,COPD,bb,0.501476646904349
Lachnospiraceae,SR1,bacteria_20,bacteria_22,0.502455896857493,2.71470833075327e-05,bacteria_20|bacteria_22,COPD,bb,0.502455896857493
Prevotella,Atopobium,bacteria_1,bacteria_24,0.520526254977228,1.22533832804805e-05,bacteria_1|bacteria_24,COPD,bb,0.520526254977228
Veillonella,Atopobium,bacteria_4,bacteria_24,0.550087041044059,3.01066935337602e-06,bacteria_4|bacteria_24,COPD,bb,0.550087041044059
Haemophilus,Atopobium,bacteria_7,bacteria_24,-0.438063462199453,0.000329812829636733,bacteria_7|bacteria_24,COPD,bb,0.438063462199453
Actinomyces,Atopobium,bacteria_13,bacteria_24,0.597637402563502,2.32450921178184e-07,bacteria_13|bacteria_24,COPD,bb,0.597637402563502
