source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Prevotella,Neisseriaceae,bacteria_1,bacteria_2,-0.512688360532109,0,bacteria_1|bacteria_2,Health,bb,0.512688360532109
Prevotella,Veillonella,bacteria_1,bacteria_4,0.379018080500061,0,bacteria_1|bacteria_4,Health,bb,0.379018080500061
Veillonella,Porphyromonas,bacteria_4,bacteria_6,-0.386614952187513,0,bacteria_4|bacteria_6,Health,bb,0.386614952187513
Fusobacterium,Porphyromonas,bacteria_5,bacteria_6,0.412188687280639,0,bacteria_5|bacteria_6,Health,bb,0.412188687280639
Prevotella,Haemophilus,bacteria_1,bacteria_7,-0.492246685416172,0,bacteria_1|bacteria_7,Health,bb,0.492246685416172
Neisseriaceae,Haemophilus,bacteria_2,bacteria_7,0.672731411625196,0,bacteria_2|bacteria_7,Health,bb,0.672731411625196
Streptococcus,Gemellaceae,bacteria_3,bacteria_9,0.486708446034431,0,bacteria_3|bacteria_9,Health,bb,0.486708446034431
Streptococcus,Granulicatella,bacteria_3,bacteria_12,0.485935402991076,0,bacteria_3|bacteria_12,Health,bb,0.485935402991076
Gemellaceae,Granulicatella,bacteria_9,bacteria_12,0.445579751883487,0,bacteria_9|bacteria_12,Health,bb,0.445579751883487
Veillonella,Actinomyces,bacteria_4,bacteria_13,0.359023710950427,0,bacteria_4|bacteria_13,Health,bb,0.359023710950427
Fusobacterium,Actinomyces,bacteria_5,bacteria_13,-0.384063117573247,0,bacteria_5|bacteria_13,Health,bb,0.384063117573247
Prevotella,Actinobacillus,bacteria_1,bacteria_14,-0.479183681761593,0,bacteria_1|bacteria_14,Health,bb,0.479183681761593
Neisseriaceae,Actinobacillus,bacteria_2,bacteria_14,0.451698857375332,0,bacteria_2|bacteria_14,Health,bb,0.451698857375332
Haemophilus,Actinobacillus,bacteria_7,bacteria_14,0.570391634713029,0,bacteria_7|bacteria_14,Health,bb,0.570391634713029
Porphyromonas,Treponema,bacteria_6,bacteria_15,0.424773873963572,0,bacteria_6|bacteria_15,Health,bb,0.424773873963572
Neisseriaceae,Mogibacteriaceae,bacteria_2,bacteria_17,-0.495835877547466,0,bacteria_2|bacteria_17,Health,bb,0.495835877547466
Haemophilus,Mogibacteriaceae,bacteria_7,bacteria_17,-0.468413559513935,0,bacteria_7|bacteria_17,Health,bb,0.468413559513935
Actinobacillus,Mogibacteriaceae,bacteria_14,bacteria_17,-0.353377839653259,4.44089209850063e-16,bacteria_14|bacteria_17,Health,bb,0.353377839653259
Treponema,Mogibacteriaceae,bacteria_15,bacteria_17,0.561985166930281,0,bacteria_15|bacteria_17,Health,bb,0.561985166930281
Prevotella,Bulleidia,bacteria_1,bacteria_18,0.407542451968324,0,bacteria_1|bacteria_18,Health,bb,0.407542451968324
Neisseriaceae,Bulleidia,bacteria_2,bacteria_18,-0.468176407990867,0,bacteria_2|bacteria_18,Health,bb,0.468176407990867
Haemophilus,Bulleidia,bacteria_7,bacteria_18,-0.398233230988853,0,bacteria_7|bacteria_18,Health,bb,0.398233230988853
Actinobacillus,Bulleidia,bacteria_14,bacteria_18,-0.354589443487699,4.44089209850063e-16,bacteria_14|bacteria_18,Health,bb,0.354589443487699
Mogibacteriaceae,Bulleidia,bacteria_17,bacteria_18,0.488248895311959,0,bacteria_17|bacteria_18,Health,bb,0.488248895311959
Porphyromonas,Clostridiaceae,bacteria_6,bacteria_19,0.366571504196512,0,bacteria_6|bacteria_19,Health,bb,0.366571504196512
Treponema,Clostridiaceae,bacteria_15,bacteria_19,0.419140705150378,0,bacteria_15|bacteria_19,Health,bb,0.419140705150378
Mogibacteriaceae,Clostridiaceae,bacteria_17,bacteria_19,0.534067304601067,0,bacteria_17|bacteria_19,Health,bb,0.534067304601067
Bulleidia,Clostridiaceae,bacteria_18,bacteria_19,0.442158882162402,0,bacteria_18|bacteria_19,Health,bb,0.442158882162402
Leptotrichia,Lachnospiraceae,bacteria_10,bacteria_20,0.414841351135214,0,bacteria_10|bacteria_20,Health,bb,0.414841351135214
Bulleidia,Lachnospiraceae,bacteria_18,bacteria_20,0.37267829763854,0,bacteria_18|bacteria_20,Health,bb,0.37267829763854
Prevotella,Aggregatibacter,bacteria_1,bacteria_21,-0.373478890996318,0,bacteria_1|bacteria_21,Health,bb,0.373478890996318
Neisseriaceae,Aggregatibacter,bacteria_2,bacteria_21,0.433141822601234,0,bacteria_2|bacteria_21,Health,bb,0.433141822601234
Haemophilus,Aggregatibacter,bacteria_7,bacteria_21,0.525503628183436,0,bacteria_7|bacteria_21,Health,bb,0.525503628183436
Actinobacillus,Aggregatibacter,bacteria_14,bacteria_21,0.464232130449922,0,bacteria_14|bacteria_21,Health,bb,0.464232130449922
Prevotella,Neisseria,bacteria_1,bacteria_23,-0.4810156284079,0,bacteria_1|bacteria_23,Health,bb,0.4810156284079
Neisseriaceae,Neisseria,bacteria_2,bacteria_23,0.729967027359601,0,bacteria_2|bacteria_23,Health,bb,0.729967027359601
Haemophilus,Neisseria,bacteria_7,bacteria_23,0.531680117799875,0,bacteria_7|bacteria_23,Health,bb,0.531680117799875
Actinobacillus,Neisseria,bacteria_14,bacteria_23,0.387637723562113,0,bacteria_14|bacteria_23,Health,bb,0.387637723562113
Mogibacteriaceae,Neisseria,bacteria_17,bacteria_23,-0.418384104540864,0,bacteria_17|bacteria_23,Health,bb,0.418384104540864
Bulleidia,Neisseria,bacteria_18,bacteria_23,-0.498063171940561,0,bacteria_18|bacteria_23,Health,bb,0.498063171940561
Aggregatibacter,Neisseria,bacteria_21,bacteria_23,0.420370869230228,0,bacteria_21|bacteria_23,Health,bb,0.420370869230228
Fusobacterium,SR1,bacteria_5,bacteria_22,0.36530947907515,0,bacteria_5|bacteria_22,Health,bb,0.36530947907515
Clostridiaceae,SR1,bacteria_19,bacteria_22,0.410052895793869,0,bacteria_19|bacteria_22,Health,bb,0.410052895793869
Prevotella,Atopobium,bacteria_1,bacteria_24,0.448800153967793,0,bacteria_1|bacteria_24,Health,bb,0.448800153967793
Neisseriaceae,Atopobium,bacteria_2,bacteria_24,-0.519479475954177,0,bacteria_2|bacteria_24,Health,bb,0.519479475954177
Veillonella,Atopobium,bacteria_4,bacteria_24,0.386050152871115,0,bacteria_4|bacteria_24,Health,bb,0.386050152871115
Haemophilus,Atopobium,bacteria_7,bacteria_24,-0.459123904843933,0,bacteria_7|bacteria_24,Health,bb,0.459123904843933
Actinomyces,Atopobium,bacteria_13,bacteria_24,0.541956406648539,0,bacteria_13|bacteria_24,Health,bb,0.541956406648539
Bulleidia,Atopobium,bacteria_18,bacteria_24,0.615714449201288,0,bacteria_18|bacteria_24,Health,bb,0.615714449201288
Lachnospiraceae,Atopobium,bacteria_20,bacteria_24,0.388111552005819,0,bacteria_20|bacteria_24,Health,bb,0.388111552005819
Aggregatibacter,Atopobium,bacteria_21,bacteria_24,-0.355275077044781,4.44089209850063e-16,bacteria_21|bacteria_24,Health,bb,0.355275077044781
Neisseria,Atopobium,bacteria_23,bacteria_24,-0.470007668324649,0,bacteria_23|bacteria_24,Health,bb,0.470007668324649
Prevotella,Lautropia,bacteria_1,bacteria_25,-0.367680978904656,0,bacteria_1|bacteria_25,Health,bb,0.367680978904656
Neisseria,Lautropia,bacteria_23,bacteria_25,0.483838108687597,0,bacteria_23|bacteria_25,Health,bb,0.483838108687597
Porphyromonas,Filifactor,bacteria_6,bacteria_27,0.427697556018795,0,bacteria_6|bacteria_27,Health,bb,0.427697556018795
Treponema,Filifactor,bacteria_15,bacteria_27,0.699564367171588,0,bacteria_15|bacteria_27,Health,bb,0.699564367171588
Mogibacteriaceae,Filifactor,bacteria_17,bacteria_27,0.623412149175073,0,bacteria_17|bacteria_27,Health,bb,0.623412149175073
Clostridiaceae,Filifactor,bacteria_19,bacteria_27,0.576674304790451,0,bacteria_19|bacteria_27,Health,bb,0.576674304790451
Leptotrichia,Oribacterium,bacteria_10,bacteria_28,0.364921251434594,0,bacteria_10|bacteria_28,Health,bb,0.364921251434594
Mogibacteriaceae,Oribacterium,bacteria_17,bacteria_28,0.356198862465941,2.22044604925031e-16,bacteria_17|bacteria_28,Health,bb,0.356198862465941
Bulleidia,Oribacterium,bacteria_18,bacteria_28,0.540169789884028,0,bacteria_18|bacteria_28,Health,bb,0.540169789884028
Clostridiaceae,Oribacterium,bacteria_19,bacteria_28,0.36033618890321,0,bacteria_19|bacteria_28,Health,bb,0.36033618890321
Lachnospiraceae,Oribacterium,bacteria_20,bacteria_28,0.427880641427969,0,bacteria_20|bacteria_28,Health,bb,0.427880641427969
Atopobium,Oribacterium,bacteria_24,bacteria_28,0.468252211237326,0,bacteria_24|bacteria_28,Health,bb,0.468252211237326
Prevotella,Pasteurellaceae,bacteria_1,bacteria_31,-0.353853442175771,4.44089209850063e-16,bacteria_1|bacteria_31,Health,bb,0.353853442175771
Haemophilus,Pasteurellaceae,bacteria_7,bacteria_31,0.567108868695029,0,bacteria_7|bacteria_31,Health,bb,0.567108868695029
Actinobacillus,Pasteurellaceae,bacteria_14,bacteria_31,0.42249732157053,0,bacteria_14|bacteria_31,Health,bb,0.42249732157053
Aggregatibacter,Pasteurellaceae,bacteria_21,bacteria_31,0.400261877518717,0,bacteria_21|bacteria_31,Health,bb,0.400261877518717
Neisseriaceae,Clostridiales,bacteria_2,bacteria_30,-0.436539450827901,0,bacteria_2|bacteria_30,Health,bb,0.436539450827901
Haemophilus,Clostridiales,bacteria_7,bacteria_30,-0.408596534332693,0,bacteria_7|bacteria_30,Health,bb,0.408596534332693
Mogibacteriaceae,Clostridiales,bacteria_17,bacteria_30,0.466495471301926,0,bacteria_17|bacteria_30,Health,bb,0.466495471301926
Bulleidia,Clostridiales,bacteria_18,bacteria_30,0.516892749343457,0,bacteria_18|bacteria_30,Health,bb,0.516892749343457
Clostridiaceae,Clostridiales,bacteria_19,bacteria_30,0.380055292322967,0,bacteria_19|bacteria_30,Health,bb,0.380055292322967
Lachnospiraceae,Clostridiales,bacteria_20,bacteria_30,0.406536483609497,0,bacteria_20|bacteria_30,Health,bb,0.406536483609497
Neisseria,Clostridiales,bacteria_23,bacteria_30,-0.413088477277677,0,bacteria_23|bacteria_30,Health,bb,0.413088477277677
SR1,Clostridiales,bacteria_22,bacteria_30,0.378503076371116,0,bacteria_22|bacteria_30,Health,bb,0.378503076371116
Atopobium,Clostridiales,bacteria_24,bacteria_30,0.413575561545955,0,bacteria_24|bacteria_30,Health,bb,0.413575561545955
Oribacterium,Clostridiales,bacteria_28,bacteria_30,0.441331458655813,0,bacteria_28|bacteria_30,Health,bb,0.441331458655813
Neisseriaceae,Capnocytophaga,bacteria_2,bacteria_32,0.399400613416541,0,bacteria_2|bacteria_32,Health,bb,0.399400613416541
Veillonella,Capnocytophaga,bacteria_4,bacteria_32,-0.367288683213923,0,bacteria_4|bacteria_32,Health,bb,0.367288683213923
SR1,Capnocytophaga,bacteria_22,bacteria_32,0.475138967886692,0,bacteria_22|bacteria_32,Health,bb,0.475138967886692
Prevotella,Kingella,bacteria_1,bacteria_34,-0.427587033444192,0,bacteria_1|bacteria_34,Health,bb,0.427587033444192
Neisseriaceae,Kingella,bacteria_2,bacteria_34,0.512041526239849,0,bacteria_2|bacteria_34,Health,bb,0.512041526239849
Haemophilus,Kingella,bacteria_7,bacteria_34,0.458343951518716,0,bacteria_7|bacteria_34,Health,bb,0.458343951518716
Actinobacillus,Kingella,bacteria_14,bacteria_34,0.377286083873805,0,bacteria_14|bacteria_34,Health,bb,0.377286083873805
Aggregatibacter,Kingella,bacteria_21,bacteria_34,0.535262122545195,0,bacteria_21|bacteria_34,Health,bb,0.535262122545195
Neisseria,Kingella,bacteria_23,bacteria_34,0.464504101712905,0,bacteria_23|bacteria_34,Health,bb,0.464504101712905
Lautropia,Kingella,bacteria_25,bacteria_34,0.382863397357143,0,bacteria_25|bacteria_34,Health,bb,0.382863397357143
Pasteurellaceae,Kingella,bacteria_31,bacteria_34,0.374422314555083,0,bacteria_31|bacteria_34,Health,bb,0.374422314555083
Capnocytophaga,Kingella,bacteria_32,bacteria_34,0.396810835496924,0,bacteria_32|bacteria_34,Health,bb,0.396810835496924
Treponema,Dialister,bacteria_15,bacteria_35,0.42597977298635,0,bacteria_15|bacteria_35,Health,bb,0.42597977298635
Filifactor,Dialister,bacteria_27,bacteria_35,0.407969777114683,0,bacteria_27|bacteria_35,Health,bb,0.407969777114683
Prevotella,Moryella,bacteria_1,bacteria_39,0.381352791775913,0,bacteria_1|bacteria_39,Health,bb,0.381352791775913
Neisseriaceae,Moryella,bacteria_2,bacteria_39,-0.356802707481605,2.22044604925031e-16,bacteria_2|bacteria_39,Health,bb,0.356802707481605
Veillonella,Moryella,bacteria_4,bacteria_39,0.385495835787313,0,bacteria_4|bacteria_39,Health,bb,0.385495835787313
Haemophilus,Moryella,bacteria_7,bacteria_39,-0.360384800725807,0,bacteria_7|bacteria_39,Health,bb,0.360384800725807
Atopobium,Moryella,bacteria_24,bacteria_39,0.429290952516745,0,bacteria_24|bacteria_39,Health,bb,0.429290952516745
Mogibacteriaceae,Parvimonas,bacteria_17,bacteria_40,0.469314825746716,0,bacteria_17|bacteria_40,Health,bb,0.469314825746716
Clostridiaceae,Parvimonas,bacteria_19,bacteria_40,0.55219651153411,0,bacteria_19|bacteria_40,Health,bb,0.55219651153411
