source,target,Var1,Var2,r,p,edge,disease,edgeType,abs.r
Prevotella,Neisseriaceae,bacteria_1,bacteria_2,-0.440281911,5.23E-08,bacteria_1|bacteria_2,preCOPD,bb,0.440281911
Prevotella,Veillonella,bacteria_1,bacteria_4,0.42190833,2.08E-07,bacteria_1|bacteria_4,preCOPD,bb,0.42190833
Veillonella,Porphyromonas,bacteria_4,bacteria_6,-0.425933276,1.55E-07,bacteria_4|bacteria_6,preCOPD,bb,0.425933276
Neisseriaceae,Haemophilus,bacteria_2,bacteria_7,0.497391192,4.06E-10,bacteria_2|bacteria_7,preCOPD,bb,0.497391192
Streptococcus,Gemellaceae,bacteria_3,bacteria_9,0.472299611,3.83E-09,bacteria_3|bacteria_9,preCOPD,bb,0.472299611
Haemophilus,Actinobacillus,bacteria_7,bacteria_14,0.495117679,5.01E-10,bacteria_7|bacteria_14,preCOPD,bb,0.495117679
Veillonella,Treponema,bacteria_4,bacteria_15,-0.404508413,7.17E-07,bacteria_4|bacteria_15,preCOPD,bb,0.404508413
Porphyromonas,Treponema,bacteria_6,bacteria_15,0.440861626,5.00E-08,bacteria_6|bacteria_15,preCOPD,bb,0.440861626
Treponema,Mogibacteriaceae,bacteria_15,bacteria_17,0.450549331,2.33E-08,bacteria_15|bacteria_17,preCOPD,bb,0.450549331
Prevotella,Bulleidia,bacteria_1,bacteria_18,0.591584579,1.40E-14,bacteria_1|bacteria_18,preCOPD,bb,0.591584579
Haemophilus,Bulleidia,bacteria_7,bacteria_18,-0.419797297,2.43E-07,bacteria_7|bacteria_18,preCOPD,bb,0.419797297
Mogibacteriaceae,Bulleidia,bacteria_17,bacteria_18,0.448111268,2.83E-08,bacteria_17|bacteria_18,preCOPD,bb,0.448111268
Porphyromonas,Clostridiaceae,bacteria_6,bacteria_19,0.523464918,3.22E-11,bacteria_6|bacteria_19,preCOPD,bb,0.523464918
Treponema,Clostridiaceae,bacteria_15,bacteria_19,0.42432875,1.74E-07,bacteria_15|bacteria_19,preCOPD,bb,0.42432875
Mogibacteriaceae,Clostridiaceae,bacteria_17,bacteria_19,0.43396798,8.48E-08,bacteria_17|bacteria_19,preCOPD,bb,0.43396798
Haemophilus,Aggregatibacter,bacteria_7,bacteria_21,0.481299102,1.75E-09,bacteria_7|bacteria_21,preCOPD,bb,0.481299102
Neisseriaceae,Neisseria,bacteria_2,bacteria_23,0.668328573,0,bacteria_2|bacteria_23,preCOPD,bb,0.668328573
Fusobacterium,SR1,bacteria_5,bacteria_22,0.405901572,6.51E-07,bacteria_5|bacteria_22,preCOPD,bb,0.405901572
Prevotella,Atopobium,bacteria_1,bacteria_24,0.593124233,1.15E-14,bacteria_1|bacteria_24,preCOPD,bb,0.593124233
Veillonella,Atopobium,bacteria_4,bacteria_24,0.445941606,3.36E-08,bacteria_4|bacteria_24,preCOPD,bb,0.445941606
Actinomyces,Atopobium,bacteria_13,bacteria_24,0.566685568,2.92E-13,bacteria_13|bacteria_24,preCOPD,bb,0.566685568
Bulleidia,Atopobium,bacteria_18,bacteria_24,0.604630094,2.66E-15,bacteria_18|bacteria_24,preCOPD,bb,0.604630094
Neisseria,Atopobium,bacteria_23,bacteria_24,-0.418732718,2.62E-07,bacteria_23|bacteria_24,preCOPD,bb,0.418732718
Neisseria,Lautropia,bacteria_23,bacteria_25,0.499670736,3.28E-10,bacteria_23|bacteria_25,preCOPD,bb,0.499670736
Fusobacterium,Campylobacter,bacteria_5,bacteria_26,0.448657572,2.71E-08,bacteria_5|bacteria_26,preCOPD,bb,0.448657572
Porphyromonas,Filifactor,bacteria_6,bacteria_27,0.423805415,1.81E-07,bacteria_6|bacteria_27,preCOPD,bb,0.423805415
Treponema,Filifactor,bacteria_15,bacteria_27,0.669703459,0,bacteria_15|bacteria_27,preCOPD,bb,0.669703459
Mogibacteriaceae,Filifactor,bacteria_17,bacteria_27,0.502390864,2.54E-10,bacteria_17|bacteria_27,preCOPD,bb,0.502390864
Clostridiaceae,Filifactor,bacteria_19,bacteria_27,0.526651343,2.33E-11,bacteria_19|bacteria_27,preCOPD,bb,0.526651343
