Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1410	S1423	Same_neighbor	0.257638109485	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1317	Same_neighbor	0.236687866763	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1320	Same_neighbor	0.301284451651	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1419	Same_neighbor	0.140790622718	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1415	Same_neighbor	0.194413268403	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1315	Same_neighbor	0.388203018529	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1292	Same_neighbor	0.395186432907	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1278	Same_neighbor	0.350542462948	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1410	S1310	Same_neighbor	0.482479112518	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1052	S1074	Same_neighbor	0.342436713301	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1387	S1248	Same_neighbor	0.23344556515	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1283	Same_neighbor	0.32447936404	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1255	Same_neighbor	0.426487090147	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1334	Same_neighbor	0.231824415457	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1275	Same_neighbor	0.258386331225	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1340	Same_neighbor	0.314378349686	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1273	Same_neighbor	0.295173958819	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1387	S1264	Same_neighbor	0.306147902	Panyu31	Panyu31	Panyu3	Panyu3	Panyu	Panyu
S1320	S1415	Same_neighbor	0.23057738	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1419	Same_neighbor	0.397555803904	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1292	Same_neighbor	0.244419505756	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1278	Same_neighbor	0.171717172071	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1310	Same_neighbor	0.35914702832	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1423	Same_neighbor	0.265619156102	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1320	S1317	Same_neighbor	0.221848113389	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1336	S1335	Same_neighbor	0.238184312428	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1356	Same_neighbor	0.30789375373	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1416	Same_neighbor	0.296046886816	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1381	Same_neighbor	0.293428103766	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1180	Same_neighbor	0.220102256459	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1399	Same_neighbor	0.295298662524	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1233	Same_neighbor	0.351041278271	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1344	Same_neighbor	0.334580371996	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1380	Same_neighbor	0.185060483222	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1336	S1217	Same_neighbor	0.400922807594	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1096	S1122	Same_neighbor	0.338446194631	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1152	Same_neighbor	0.354907095225	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1131	Same_neighbor	0.260506300697	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1151	Same_neighbor	0.255767550488	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1127	Same_neighbor	0.264496823574	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1123	Same_neighbor	0.281331834875	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1096	S1092	Same_neighbor	0.243421875648	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1344	S1380	Same_neighbor	0.234692606617	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1344	S1217	Same_neighbor	0.413268486347	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1344	S1180	Same_neighbor	0.232323235838	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1475	S1567	Same_neighbor	0.319615909742	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1034	S1016	Same_neighbor	0.151265746122	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1034	S1074	Same_neighbor	0.327596953353	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1034	S1052	Same_neighbor	0.328843993356	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1034	S1053	Same_neighbor	0.413517895759	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1106	S1057	Same_neighbor	0.288439956202	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1106	S1039	Same_neighbor	0.281456543437	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1106	S1001	Same_neighbor	0.336700338648	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1106	S1013	Same_neighbor	0.349544831252	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1106	S1088	Same_neighbor	0.218730515734	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1251	S1232	Same_neighbor	0.302406786442	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1370	Same_neighbor	0.239057241902	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1281	Same_neighbor	0.399426365102	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1417	Same_neighbor	0.308766680456	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1329	Same_neighbor	0.216236441959	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1428	Same_neighbor	0.296296298111	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1413	Same_neighbor	0.254769924354	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1422	Same_neighbor	0.272353164911	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1421	Same_neighbor	0.376106750496	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1280	Same_neighbor	0.295423373818	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1251	S1424	Same_neighbor	0.368499816579	Panyu21	Panyu21	Panyu2	Panyu2	Panyu	Panyu
S1053	S1016	Same_neighbor	0.438333960281	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1053	S1074	Same_neighbor	0.274847241088	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1053	S1052	Same_neighbor	0.384586605846	Wengyuan11	Wengyuan11	Wengyuan1	Wengyuan1	Wengyuan	Wengyuan
S1122	S1123	Same_neighbor	0.381718420091	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1122	S1092	Same_neighbor	0.407906221664	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1122	S1127	Same_neighbor	0.279710690241	Wengyuan21	Wengyuan21	Wengyuan2	Wengyuan2	Wengyuan	Wengyuan
S1335	S1180	Same_neighbor	0.231450305996	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1335	S1233	Same_neighbor	0.335952115992	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1335	S1399	Same_neighbor	0.270981418281	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1335	S1380	Same_neighbor	0.266492081734	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1335	S1217	Same_neighbor	0.448060855036	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1335	S1344	Same_neighbor	0.271480233821	Panyu12	Panyu12	Panyu1	Panyu1	Panyu	Panyu
S1470	S1475	Same_neighbor	0.240428979139	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1470	S1567	Same_neighbor	0.219104628343	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1425	S1209	Same_neighbor	0.325726402686	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1210	Same_neighbor	0.17333832296	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1250	Same_neighbor	0.49968824025	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1183	Same_neighbor	0.213742360966	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1295	Same_neighbor	0.318119464728	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
S1425	S1221	Same_neighbor	0.299289186504	Panyu11	Panyu11	Panyu1	Panyu1	Panyu	Panyu
