Sample1	Sample2	Group	Distance	Neighbor1	Neighbor2	Street1	Street2	District1	District2
S1214	S1402	Same_neighbor	0.32479414465	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1330	Same_neighbor	0.512351327025	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1222	Same_neighbor	0.879231473819	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1240	Same_neighbor	0.843549863609	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1331	Same_neighbor	0.467520586403	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1384	Same_neighbor	0.723696248862	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1214	S1383	Same_neighbor	0.607502289215	Panyu32	Panyu32	Panyu3	Panyu3	Panyu	Panyu
S1013	S1057	Same_neighbor	0.769441903539	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1013	S1106	Same_neighbor	0.666971637834	Wengyuan32	Wengyuan32	Wengyuan3	Wengyuan3	Wengyuan	Wengyuan
S1487	S1475	Same_neighbor	0.545288198954	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1487	S1567	Same_neighbor	0.795974384878	Zhuhai21	Zhuhai21	Zhuhai2	Zhuhai2	Zhuhai	Zhuhai
S1414	S1278	Same_neighbor	0.451052149628	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1419	Same_neighbor	0.507776760523	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1317	Same_neighbor	0.819762123459	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1310	Same_neighbor	0.451967063082	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1415	Same_neighbor	0.664226897328	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1292	Same_neighbor	0.71180237928	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
S1414	S1410	Same_neighbor	0.760292773161	Panyu22	Panyu22	Panyu2	Panyu2	Panyu	Panyu
